ac|en|fi|pt|ru|zh|ja|ko|de
armors12|Quilted Armor|Tikattu Haarniska|Armadura Acolchoada|Стеганый доспех|拼合护甲|キルトの鎧|누비 갑옷|Gesteppte Rüstung
armors13|Demonhide Armor|Demoninahkahaarniska|Armadura de Couro de Demônio|Доспех из кожи демона|藏魔盔甲|デーモン革の鎧|악마 가죽 갑옷|Dämonenhautrüstung
armors14|Trellised Armor|Trellisoitu Haarniska|Armadura Treliçada|Чешуйчатый доспех|攀绕护甲|格子の鎧|전신 갑옷|Vergitterte Rüstung
armors15|Flaming Coat|Liekehtivä Takki|Casado Flamejante|Одеяние Мага Пламени|火焰大衣|炎のコート|화염 코트|Flammenmantel
armors16|Thunderhide Coat|Ukkosnahkatakki|Casaco de Pele de Dinossauro|Одеяние Мага Бури|藏雷大衣|雷革のコート|천둥 가죽 코트|Donnerhautmantel
armors17|Frozen Coat|Jäinen Takki|Casaco Congelado|Одеяние Мага Мороза|冰霜大衣|凍結のコート|얼어붙은 코트|Gefrorener Mantel
armors18|Toxichide Coat|Myrkkynahkatakki|Casaco Toxichide|Одеяние Алхимика|有毒大衣|有毒革のコート|독극물 가죽 코트|Toxischer Mantel
armors19|Molten Armor|Sula Haarniska|Armadura Derretida|Расплавленный Доспех|炽热护甲|溶岩のコート|용해 된 갑옷|Geschmolzene Rüstung
armors20|Electric Steel Plate|Sähköteräshaarniska|Placa de Aço Elétrica|Стальной Доспех Молний|导电钢胸甲|電気鋼のプレート|전기 강판|Elektrische Stahlplatte
armors21|Tundra Armor|Tundrahaarniska|Armadura da Tundra|Доспех Тундры|苔原护甲|ツンドラの鎧|툰드라 갑옷|Tundrarüstung
armors22|Poisonous Cuirass|Myrkyllinen Rintapanssari|Couraça Venenosa|Боевой Доспех Алхимика|有毒胸甲|毒のキュイラス|독극물 동체 갑옷|Giftiger Kürass
[armors_unique]||||||||
armors_unique0|Heaven's Might|Taivaan Mahti|Força do Paraíso|Мощь Небес|天堂的大能|天の威厳|하늘의 심판|Macht des Himmels
armors_unique1|Leviathan|Leviatan|Leviatã|Левиафан|利维坦海怪|リヴァイアサン|레비아탄|Leviathan
armors_unique2|Lizard's Robe|Liskon Viitta|Manto do Lagarto|Мантия Ящера|蜥蜴的长袍|リザードのローブ|도마뱀의 로브|Echsenrobe
armors_unique3|Dark Shroud|Pimeä Verho|Mortalha Negra|Покров Тьмы|黑色的裹尸布|ダークシュラウド|다크 슈라우드|Dunkler Schleier
armors_unique4|Tayrel's Chestplate|Tayrelin Rintapelti|Peitoral de Tayrel|Нагрудник Тайрела|泰雷尔的护胸|タイレルのチェストプレート|타일러의 흉갑|Tayrels Brustplatte
armors_unique5|Uabel's Chest|Uabelin Rintapelti|Peito de Uabel|Нагрудник Уабеля|乌贝尔的胸甲|ユーベルのチェスト|와벨의 흉부|Uabels Brust
armors_unique6|Marsh Shroud|Suoverho|Manto do Pântano|Болотная Накидка|沼泽寿衣|沼沢のシュラウド|마쉬 슈라우드|Marschschleier
armors_unique7|Gladiator's Demise|Gladiaattorin Kuolema|Morte do Gladiador|Гибель Гладиатора|角斗士的馈赠|剣闘士の終焉|검투사의 죽음|Brustplatte des Gladiators
armors_unique8|Hellfire Cuirass|Pätsin Rintapanssari|Couraça do Fogo do Inferno|Кираса Адского Пламени|地狱之火胸甲|地獄の炎のキュイラス|지옥 불 동체갑옷|Höllenfeuerkürass
armors_unique9|Devil's Cocoon|Paholaisen Koppa|Casulo do Demônio|Покров Дьявола|魔鬼的茧|悪魔の繭|악마의 누에고치|Brustplatte des Teufels
armors_unique10|Mevius' Mighty Plate|Meviuksen Mahtava Pelti|Placa Poderosa de Mevius|Великолепные Латы Мевиуса|梅维乌斯强力护胸|メビウスの偉大なプレート|뫼비우스의 마이티 플레이트|Mevius' Mächtige Platte
armors_unique11|Anubis Torso|Anubis Vartalo|Tronco de Anúbis|Торс Анубиса|阿努比斯护甲|アヌビスの胴|아누비스의 몸통|Anubis' Torso
armors_unique12|Genji's Battle Armor|Genjin Taistelupanssari|Armadura de Batalha de Genji|Боевой Доспех Гэндзи|根吉的战斗盔甲|ゲンジのバトル・アーマー|겐지의 전투용 갑옷|Genjis Brustplatte
armors_unique13|Satan's Cuirass|Saatanan Rintapanssari|Couraça de Satã|Кираса Сатаны|撒旦的胸甲|サタンのキュイラス|사탄의 동체갑옷|Satans Brustplatte
armors_unique14|Sand King's Scarab|Hiekkakuninkaan Skarabi|Escaravelho do Rei da Areia|Броня Короля Песков|沙王的圣甲虫|サンド・キングのスカラベ|모래 왕의 풍뎅이|Brustplatte des Königs der Sande
armors_unique15|Ice Howl's Cuirass|Jääulvojan Rintapanssari|Couraça do Uivo do Gelo|Кираса Рев Мороза|冰王的胸甲|アイスハウルのキュイラス|아이스 하울의 동체갑옷|Eisgeheuls Kürass
armors_unique16|Grandwizard's Robe|Suurvelhon Viitta|Manto do Grão-Mago|Мантия Верховного Мага|大巫师的长袍|グランドウィザードのローブ|위대한 위저드의 로브|Brustplatte des Großmagiers
armors_unique17|Zeus' Body Armor|Zeuksen Panssari|Armadura Corporal de Zeus|Броня Зевса|宙斯盔甲|ゼウスの胴甲|제우스의 몸통 갑옷|Zeus' Körperpanzerung
armors_unique18|Redneck's Shirt|Punaniskan Paita|Camisa do Camponês|Рубаха Деревенщины|红脖子的衬衫|レッドネックのシャツ|레드넥의 셔츠|Redneck-Hemd
armors_unique19|Pirate Captain's Shirt|Merirosvokapteenin Paita|Camisa do Capitão Pirata|Рубаха Капитана Пиратов|海盗船长衬衫|海賊船長のシャツ|해적 대위의 셔츠|Hemd des Piratenkapitäns
armors_unique20|Death Lord's Bone Armor|Kuolemanherran Luupanssari|Armadura de Ossos do Senhor da Morte|Костяная Броня Владыки Смерти|死神的骨甲|デス・ロードの骨の鎧|죽음의 신의 뼈갑옷|Knochenrüstung des Todeslords
armors_unique21|Thor's Chest Armor|Odinin Rintapanssari|Armadura Peitoral de Odin|Кираса Одина|奥丁的胸甲|オーディンのチェスト・アーマー|오딘의 흉부 갑옷|Odins Brustrüstung
armors_unique22|Cuirass of Blood|Veren Rintapanssari|Couraça de Sangue|Кровавая Кираса|嗜血胸甲|血のキュイラス|피의 흉갑|Kürass des Blutes
armors_unique23|Magister's Robe|Velhon Viitta|Robe do Magister|Одеяние Мага|大法师的长袍|マギステル・ローブ|마법사의 로브|Gewand des Magisters
armors_unique24|Nomad's Battlerobe|Vaeltajan Taisteluviitta|Veste de Batalha do Nômade|Боевое Одеяние Кочевника|流浪者的战袍|ノマドのバトルローブ|노마드의 배틀로브|Schlachtenrobe des Nomaden
armors_unique25|Marksman's Hunting Shroud|Jousimiehen Metsästysverho|Mortalha de Caça do Atirador|Охотничья Накидка Стрелка|射手的狩猎裹尸布|マークスマンのハンティングシュラウド|명사수의 사냥용 장막|Kampfschleier des Marksman
armors_unique26|Fire God's Chestplate|Tulijumalan Rintapelti|Peitoral do Deus do Fogo|Доспех Бога Огня|上帝的火胸甲|火神のチェストプレート|불의 신의 갑옷|Brustplatte des Feuergottes
armors_unique27|Upi's Sweetshirt|Upin Makea Paita|Suéter de Upi|Свитер Упи|Upi的运动衫|ユピのスウィートシャツ|우피의 스웨트셔츠|Sweetshirt des Upi
armors_unique28|Thunder Gladiator's Armor|Ukkosgladiaattorin Panssari|Armadura do Gladiador de Trovão|Доспех Воина Грома|雷声角斗士的盔甲|サンダーグラディエーターのアーマー|썬더 글라디에이터의 갑옷|Rüstung des Donnergladiatoren
armors_unique29|Nobunaga's Battle Cuirass|Nobunagan Taistelurintapanssari|Couraça de Batalha de Nobunaga|Кираса Нобунага|织田信长的战斗胸甲|信長のバトルクイラス|노부나가의 전투용 동체 갑옷|Schlachtkürass des Nobunaga
armors_unique30|Slayer's Jacket|Surmaajan Takki|Jaqueta do Matador|Плащ Убийцы|猎人的夹克|スレイヤーズジャケット|슬레이어의 재킷|Jacke des Mörders
armors_unique31|Lancer's Chestplate|Kilpiseivästäjän Rintapelti|Peitoral do Lanceiro|Кираса Копейщика|枪骑兵的胸甲|ランサーズチェストプレート|랜서즈 갑옷|Brustplatte des Lanzenreiters
armors_unique32|Demon's Ribcage|Demonin Rintakehä|Caixa Torácica do Demônio|Ребра Демона|恶魔的胸腔|悪魔の胸郭|악마의 흉곽|Brustkorb des Dämons
armors_unique33|Sacred Robe|Pyhäviitta|Veste Sagrada|Священное Одеяние|神圣的长袍|聖なるローブ|신성한 가운|Heilige Robe
armors_unique34|Chestplate of Fire|Liekkirintapelti|Peitoral de Fogo|Нагрудник Пламени|火胸甲|炎のチェストプレート|불의 갑옷|Brennende Brustplatte
armors_unique35|Lichbane|Kalmanriesa|Perdição de Lich|Вечные Муки|尸巫|リヒベネ|리치베인|Lichbane
armors_unique36|St. Wooxy's Glorious Hauberk|Pyhän Wooxyn Mahtava Panssari|Hauberk Glorioso de São Wooxy|Хауберк св. Wooxy|圣沃克的光荣胸甲|聖Wooxyの栄光のホーバーク|세인트 우시의 영광스러운 갑옷|Der herrliche Hauberk des Heiligen Wooxy
armors_unique37|Traveler's Leather Jacket|Matkustajan Nahkatakki|Jaqueta de couro do viajante|Кожаная Куртка Путешественника|旅行者的皮夹克|トラベラーズレザージャケット|여행자 용 가죽 자켓|Lederjacke für Reisende
armors_unique38|Gem King's Garb|Jalokivi Kuninkaan Panssari|Traje do Rei Gema|Одеяние Короля Самоцветов|宝石王的服装|ジェムキングの服|보석 왕의 의복|Gem King's Gewand
armors_unique39|Engineer's Plated Vest|Insinöörin Panssaroitu Liivi|Colete Cromado do Engenheiro|Бронежилет Инженера|工程师的镀金背心|エンジニアのメッキベスト|엔지니어의 도금 조끼|Überzogene Weste des Ingenieurs
armors_unique40|Vagabond's Wraps|Kiertolaisen Rievut|Wraps de vagabundo|Накидка Скитальца|流浪者的裹身|バガボンドのラップ|방랑자의 겉옷|Vagabonds Wraps
armors_unique41|Flame Diviner's Sanctum|Liekinjakajan Suoja|Santuário do Adivinho Flamejante|Нагрудник Прорицателя|烈焰圣者的圣殿|炎占い師の聖域|화염 점쟁이의 성소|Flammenwahrsagers Heiligtum
armors_unique42|Blood-letter's Plate Body|Blood-letter's Plate Body|Blood-letter's Plate Body|Латный Нагрудник Кровопускателя|Blood-letter's Plate Body|Blood-letter's Plate Body|Blood-letter's Plate Body|Blood-letter's Plate Body
armors_unique43|Venom's Ribcage|Venomin Rintakehä|Caixa torácica de Venom|Костяная Броня Веномансера|毒液的肋骨|ヴェノムの胸郭|독의 갈비뼈|Venoms Brustkorb
armors_unique44|Shield Bearer's Plated Armor|Kilvenkäyttäjän Panssari|Armadura Cromada do Portador do Escudo|Латный Доспех Щитоносца|盾牌守卫者的板甲|シールドベアラーのプレートアーマー|방패 운반자의 도금 갑옷|Schildträger-Rüstung
armors_unique45|Juggernaut's Glorious Plate|Pysäyttämätön Voiman Mahtava Haarniska|Placa Gloriosa de Juggernaut|Великолепные Латы Джаггернаута|剑圣的光荣板甲|ジャガーノートの栄光のプレート|저거너트의 영광스러운 판|Juggernauts herrlicher Teller
armors_unique46|Justiciar's Thunder Armor|Oikeuttajan Ukkospanssari|Armadura de Trovão do Justiciar|Латный Доспех Праведного|贾斯蒂西尔的雷霆护甲|司法長官のサンダーアーマー|Justiciar의 천둥 갑옷|Justiciars Donnerrüstung
armors_unique47|Lost Master's Platemail|Kadonneen Mestarin Peltipanssari|Platemail do Mestre Perdido|Латный Доспех Мастера|失落大师的板甲|ロストマスターのプレートメール|로스트 마스터의 플레이트 메일|Platemail des verlorenen Meisters
armors_unique48|Earth Shaper's body|Maanmuokkaajan Keho|Corpo do formador da terra|Броня Творца|造地者的身体|アースシェイパーの体|지구 형성 자의 몸|Körper des Erdformers
armors_unique49|Plunderer's Jacket|Ryövärin Jakku|Jaqueta de saqueador|Жилет Расхитительницы|掠夺者外套|プランダラのジャケット|약탈자 재킷|Plündererjacke
armors_unique50|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|Боевое Одеяние Валькирии|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment|Valkyrie's Battle Raiment
armors_unique51|Hazmat Suit|Hazmat puku|Fato para materiais perigosos|Hazmat Suit|危险品防护服|ハズマットスーツ|Hazmat Suit|Gefahrgutanzug
armors_unique52|Molten Steel Cataphract|Sulan teräksen katafrakti|Catafrato de aço derretido|Molten Steel Cataphract|熔化的钢铁大士|モルテン・スチール・カタフラクト|Molten Steel Cataphract|Geschmolzener Stahl Kataphrakt
armors_unique53|Tropical Storm|Trooppinen myrsky|Tempestade Tropical|Tropical Storm|热带风暴|熱帯雨林|Tropical Storm|Tropensturm
armors_unique54|Magic-Imbued Frozen Platemail|Taikuudella varustettu jäädytetty platemail|Magic-Imbued Frozen Frozen Platemail|Magic-Imbued Frozen Platemail|充满魔力的冰冻桔梗|魔法をかけられたフローズンプラテメール|Magic-Imbued Frozen Platemail|Gefrorene Platemail mit Magie-Imprägnierung
armors_unique55|Zephy's Gown|Zephyn puku|Bata Zephy's Gown|Zephy's Gown|Zephy's Gown|Zephyのガウン|Zephy's Gown|Zephys Kleid
armors_unique56|Mystique Allure |Mystiikka Allure|Mystique Allure|Mystique Allure |神秘主义的魅力|ミスティーク・アリュール|Mystique Allure |Mystik Allure
armors_unique57|Cocoon of the Berserker|Berserkerin kotelo|Casulo do Berserker|Cocoon of the Berserker|狂热者之茧|バーサーカーの繭|Cocoon of the Berserker|Kokon des Berserkers
armors_unique58|Giant Thorned Lizard Skin|Giant Thorned Lizard Skin|Pele de lagarto espinhosa gigante|Giant Thorned Lizard Skin|巨型带刺蜥蜴皮|巨大なトゲトカゲの皮|Giant Thorned Lizard Skin|Haut der Rieseneidechse mit Dornen
armors_unique59|The Noxious Hunter's Reward|Myrkyllisen metsästäjän palkinto|A recompensa do caçador nocivo|The Noxious Hunter's Reward|有毒猎人的奖励|毒舌ハンターのご褒美|The Noxious Hunter's Reward|Die Belohnung für den schädlichen Jäger
armors_unique60|Empire's Military Plate|Imperiumin sotilaskilpi|Placa Militar do Império|Empire's Military Plate|帝国的军牌|帝国のミリタリープレート|Empire's Military Plate|Militärische Platte des Reiches
armors_unique61|Gilded Bounty Hunter's Chestplate|Kullattu palkkionmetsästäjän rintakilpi|Chapa do peito do Gilded Bounty Hunter|Gilded Bounty Hunter's Chestplate|镀金的赏金猎人胸甲|金色のバウンティハンターの胸当て|Gilded Bounty Hunter's Chestplate|Vergoldete Kopfgeldjäger-Brustplatte
armors_unique62|Leather Muscle Breastplate|Nahkainen lihasrintalautanen|Placa de Couro Músculo Mamário|Leather Muscle Breastplate|皮革肌肉胸甲|レザーマッスルブレストプレート|Leather Muscle Breastplate|Leder-Muskel-Brustplatte
armors_unique63|Tundra Hunter's Long Coat|Tundrametsästäjän pitkä takki|Tundra Hunter's Long Coat|Tundra Hunter's Long Coat|苔原猎人的长外套|ツンドラハンターのロングコート|Tundra Hunter's Long Coat|Langer Mantel des Tundra-Jägers
armors_unique64|Arcane Robes of Authority|Arkaninen auktoriteetin kaapu|Túnicas de Autoridade Arcana|Arcane Robes of Authority|权力的奥秘之袍|権威あるアルカンのローブ|Arcane Robes of Authority|Arkane Gewänder der Autorität
armors_unique65|Thunder Guardian's Plate|Thunder Guardianin lautanen|Placa Thunder Guardian's|Thunder Guardian's Plate|雷霆守护者之盘|サンダーガーディアンのプレート|Thunder Guardian's Plate|Teller des Donnerwächters
armors_unique66|Mage Slayer's Magic Jacket|Maagin tappajan taikatakki|Jaqueta Mage Slayer's Magic Jacket|Mage Slayer's Magic Jacket|法师屠夫的魔法外套|Mage Slayerのマジックジャケット|Mage Slayer's Magic Jacket|Magische Jacke der Magiertöterin
armors_unique67|Oni Slayer's Prize|Oni Slayer palkinto|Oni Slayer's Prize|Oni Slayer's Prize|屠魔者的奖赏|オニ退治の賞品|Oni Slayer's Prize|Preis der Oni-Töterin
armors_unique68|Tactical Flak Jacket|Taktinen Flak-takki|Jaqueta Flak Tática|Tactical Flak Jacket|战术高射炮夹克|タクティカルフラックジャケット|Tactical Flak Jacket|Taktische Flak-Jacke
armors_unique69|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply|Unearthed Esoteric Panoply
armors_unique70|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide|Sheep King’s Hide
armors_unique71|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor|Warrior's Hide Armor
armors_unique72|Nukilik's Might|Nukilik's Might|Nukilik's Might|Nukilik's Might|Nukilik's Might|Nukilik's Might|Nukilik's Might|Nukilik's Might
armors_unique73|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride|Clan Leader's Pride
armors_unique74|Mage's Cloak|Mage's Cloak|Mage's Cloak|Mage's Cloak|Mage's Cloak|Mage's Cloak|Mage's Cloak|Mage's Cloak
armors_unique75|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge|Robes of Forbidden Knowledge
armors_unique76|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud|Elementalist's Enchanted Shroud
armors_unique77|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering|Rogue’s Leather Covering
armors_unique78|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor|Padded Scout Ranger's Armor
armors_unique79|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud|Bandit Lord's Shroud
armors_unique80|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor|Ancient Horned Armor
armors_unique81|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement|Tarethiel Knight's Encasement
armors_unique82|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace|The Black Knight's Carapace
armors_unique83|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate|Pauldroned Bronze Breastplate
armors_unique84|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector|Hulking Steel Protector
armors_unique85|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body|Behemoth’s Damascus Body
armors_unique86|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris|Sand Manipulator's Kalasiris
[helms]||||||||
helms0|Skull Cap|Kallokypärä|Touca de Caveira|Костяной Шлем|无沿便帽|スカル・キャップ|해골 모자|Schädelhaube
helms1|Sallet|Sallet|Sallet|Шлем с забралом|轻盔|サレット|살렛|Sallet
helms2|Hydraskull|Hydrakallo|Hydraskull|Череп Гидры|九头蛇头盖骨圆帽|ヒュドラのドクロ|히드라 스컬|Hydraschädel
helms3|Viking Helm|Viikinkikypärä|Elmo Viking|Шлем викинга|维京头盔|バイキングの兜|바이킹 투구|Vikingerhelm
helms4|Marauder Crown|Ryövärikruunu|Coroa do Saqueador|Шлем мародёра|掠夺者皇冠|襲撃者の冠|약탈자의 왕관|Marodeurskrone
helms5|Colossal Helm|Jättimäinenkypärä|Elmo Colossal|Гигантский шлем|巨型头盔|軍団の兜|거대한 투구|Kolossaler Helm
helms6|Commander Helm|Komentajakypärä|Elmo do Comandante|Шлем командира|指挥官头盔|司令官の兜|지휘관의 투구|Helm des Kommanders
helms7|Crusader Helm|Ristirtkeilykypärä|Elmo do Cruzado|Шлем крестоносца|十字军头盔|クルセーダーの兜|십자군의 투구|Helm des Kreuzfahrers
helms8|War Helm|Sotakypärä|Elmo de Guerra|Шлем воина|战争头盔|戦いの兜|전쟁 투구|Kriegshelm
helms9|Cap|Myssy|Boné|Шапка|帽子|帽子|모자|Haube
helms10|War Hat|Sotahattu|Chapéu de Guerra|Шапка воина|战帽|戦いの帽子|전쟁 모자|Kriegshut
helms11|Shako|Shako|Shako|Кивер|圆锥帽|シャコー帽|군모|Shako
helms12|Gladiator Helm|Gladiaattorikypärä|Elmo de Gladiador|Шлем гладиатора|角斗士头盔|剣闘士の兜|검투사의 투구|Helm des Gladiators
helms13|Avenger Crown|Kostajakruunu|Coroa do Vingador|Шлем мстителя|复仇者皇冠|復讐者の冠|복수하는 자의 왕관|Rächerkrone
helms14|Soldier Basinet|Sotilasbasinetti|Bacinete de Soldado|Стальной шлем|士兵轻钢盔|兵士のバシネット|군인 요람|Soldaten-Kesselhaube
helms15|Casque|Casque|Capacete|Каска|盔|カスク|헬멧|Casque
helms16|Helm|Kypärä|Elmo|Шлем|头盔|兜|투구|Helm
helms17|Armet|Armet|Armet|Армет|骑士头盔|アーメット|투구|Armet
helms18|Spired Helm|Tornikypärä|Elmo com Pináculo|Остроконечный шлем|螺旋头盔|尖った兜|녹 슨 투구|Spitzer Helm
helms19|Great Helm|Suurkypärä|Grande Elmo|Укрепленный шлем|伟大头盔|大兜|위대한 투구|Großhelm
helms20|Barbarian Helm|Barbaarikypärä|Elmo Bárbaro|Шлем варвара|野蛮头盔|バーバリアンの兜|바바리안의 투구|Barbarenhelm
[helms_unique]||||||||
helms_unique0|Harlequin Crest|Harlekiinitöyhtö|Penacho de Arlequim|Шутовской Колпак|谐角之冠|ハーレクインのとさか|할리퀸의 문장|Harlekin-Wappen
helms_unique1|The Colossal Avenger|Jättimäinenkostaja|O Vingador Colossal|Гигантский Мститель|巨人复仇者|復讐者軍団|거대한 복수자|Der Kolossale Rächer
helms_unique2|Demon Warlord's Helm|Demonisotaherran Kypärä|Elmo do Demônio Senhor da Guerra|Шлем Высшего Демона|恶魔军阀的头盔|デーモン武将の兜|악마 장군의 투구|Helm des Dämonischen Kriegsherrn
helms_unique3|Golden Crusader|Kultainen Ristiretkeilijä|Cruzador de Ouro|Золотой Крестоносец|黄金十字军|金のクルセーダー|황금의 십자군|Goldener Kreuzritter
helms_unique4|The Bucket|Ämpäri|O Balde|Ведро|桶|バケツ|양동이|Der Eimer
helms_unique5|Sky Crusader Helm|Taivasristiretkeilykypärä|Elmo do Cruzador do Céu|Небесный Шлем Крестоносца|天空十字军头盔|空のクルセーダーの兜|하늘의 십자군 투구|Helm des Himmlischen Kreuzritters
helms_unique6|Helm of Dominator|Dominoijan Kypärä|Elmo do Dominador|Доминатор|霸主的头盔|支配者の兜|정복자의 투구|Helm des Beherrschers
helms_unique7|The Faceless Priest|Kasvoton Pappi|O Sacerdote sem Rosto|Безликий Священник|无脸祭司|顔の無い祭司|얼굴 없는 성직자|Der Gesichtslose Priester
helms_unique8|Uabel's Helmet|Uabelin Kypärä|Elmo de Uabel|Шлем Уабеля|乌贝尔头盔|ユーベルの兜|와벨의 투구|Uabels Helm
helms_unique9|Reaper's Hood|Viikatemiehen Kaapu|Capuz do Ceifador|Капюшон Жнеца|死神的兜帽|死神のフード|사신의 두건|Schnitterkapuze
helms_unique10|Genji's Battle Helmet|Genjin Taistelukypärä|Capacete de Batalha de Genji|Шлем Гэндзи|根吉的战斗头盔|ゲンジのバトル兜|겐지의 전투 투구|Genjis Kampfhelm
helms_unique11|Mevius' Mighty Helmet|Meviuksen Mahtava Kypärä|Capacete Poderoso de Mevius|Великолепный Шлем Мевиуса|梅维乌斯强大头盔|メビウスの偉大な兜|뫼비우스의 힘의 투구|Mevius' Mächtiger Helm
helms_unique12|Flame God's Helmet|Tulijumalan Kypärä|Capacete do Deus das Chamas|Шлем Бога Пламени|火王的头盔|炎神の兜|화염 신의 투구|Helm des Flammengottes
helms_unique13|Ice King's Crown|Jääkuninkaan Kruunu|Coroa do Rei do Gelo|Корона Короля Льдов|冰王皇冠|氷の王の冠|얼음 왕의 왕관|Krone des Eiskönigs
helms_unique14|Zeus' Circlet|Zeuksen Otsaripa|Tiara de Zeus|Корона Зевса|宙斯的环形头饰|ゼウスのサークレット|제우스 서클릿|Zeus' Reif
helms_unique15|Redneck's Cap|Punaniskan Lippis|Boné do Camponês|Шапка Деревенщины|红脖子的帽子|レッドネックの帽子|레드넥의 모자|Redneck-Kappe
helms_unique16|Pirate Captain's Hat|Merirosvokapteenin Hattu|Chapéu do Capitão Pirata|Шляпа Капитана Пиратов|海盗船长的帽子|海賊船長の帽子|해적 대위의 모자|Hut des Piratenkapitäns
helms_unique17|Death Lord's Crown|Kuolemanherran Kruunu|Coroa do Senhor da Morte|Корона Владыки Смерти|死神的皇冠|デス・ロードの冠|죽음의 신의 왕관|Krone des Todeslords
helms_unique18|Thor's Battle Cap|Odinin Taistelukypärä|Boné de Batalha de Odin|Шлем Одина|奥丁的战斗帽|オーディンのバトル・キャップ|오딘의 전투 모자|Odins Kampfhaube
helms_unique19|Viking's Sacred Helmet|Viikingin Pyhäkypärä|Capacete Sagrado Viking|Священный шлем викинга|维京人的圣头盔|バイキングの神聖な兜|바이킹의 신성한 투구|Heiliger Wikingerhelm
helms_unique20|Nomad's Sand Bandana|Vaeltajan Hiekkahuivi|Bandana de Areia do Nômade|Бандана Кочевника|游牧者的沙子大手帕|ノマドのサンドバンダナ|노마드의 모래 두건|Sandbandana des Nomaden
helms_unique21|Nobunaga's Battle Helmet|Nobunagan Taistelukypärä|Capacete de Batalha de Nobunaga|Шлем Нобунага|织田信长的战斗头盔|信長のバトルヘルメット|노부나가의 전투용 헬멧|Schlachthelm des Nobunaga
helms_unique22|Gladiator's Skullet|Gladiaattorin Kallotti|Caveira do Gladiador|Шлем Гладиатора|角斗士的乌鱼发型|グラディエーターのスカルレット|글라디에이터의 스컬렛|Schädel des Gladiators
helms_unique23|Doctor's Visage|Tophtorin Kasvot|Rosto do Médico|Маска Доктора|医生的面貌|ドクターズヴィサージュ|의사의 얼굴|Visage des Doktors
helms_unique24|Aztec Crown|Atsteekkikruunu|Coroa Asteca|Корона Ацтеков|爱捷特皇冠|アズテッククラウン|아즈텍 크라운|Krone es Azteken
helms_unique25|Wendigo Skull|Wendigokallo|Caveira de Wendigo|Череп Вендиго|联合头骨|ヴェンディゴスカル|웬디고 해골|Schädel des Wendigo
