[main_menu]|en|fi|pt|ru|zh|ja|ko|de
relic_110|Ninja Hook|Ninjakoukku|Gancho de ninja|Кусаригама|忍者抓钩|忍者フック|닌자 갈고리|Ninja-Haken
relic_111|Rice & Chopsticks|Syömäpuikot ja riisi|Arroz, pauzinhos|Рис и палочки|米饭&筷子|米＆箸|밥과 젓가락|Reis & Essstäbchen
relic_112|Minisect|Minisect|Minisect|Минисект|小赛克特|ミニセクト|미니섹트|Minisekt
relic_113|Shade of Death|Kuoleman viuhka|Sombra da morte|Веер Смерти|死亡阴影|デスシェード|죽음의 장막|Fächer des Todes
relic_114|Dislocated Eye|Irronnut silmä|Olho deslocado|Вырванный глаз|脱位之眼|脱臼させる目|빠져버린 눈|Zerquetschtes Auge
relic_115|Half Eaten Mochi|Puoliksi syöty Mochi|Meio comido Mochi|Недоеденный рис|吃了一半的糯米团|食べかけたお餅|반쯤 먹은 찹쌀떡|Halb gegessener Mochi
relic_116|Bonsai Tree|Bonsai puu|Árvore bonsai|Бонсай|盆栽|盆栽の木|분재|Bonsaibaum
relic_117|DaPlayer's Dislocated Head|DaPlayerin irronnut pää|Cabeça dislocada de DaPlayer|Аторванная башка игрока|达普雷尔的脱位头颅|ダプレイヤーの脱臼させる頭|플레이어의 머리|DaPlayer's verrenkter Kopf
relic_118|Witch Claw|Noidan kynsi|Garra da bruxa|Коготь ведьмы|女巫之爪|魔女のクロー|마녀의 손|Hexenkralle
relic_119|Shattered Katana|Hajonnut katana|Katana quebrada|Сломанная катана|破碎的武士刀|砕けたカタナ|부서진 카타나|Zertrümmertes Katana
relic_120|Orb of Fire|Tulipallo|Orbe de Fogo|Сфера огня|火之法球|オーブ・オブ・ファイア|화염의 구슬|Feuerkugel
relic_121|Orb of Ice|Jääpallo|Orbe de Gelo|Сфера льда|冰之法球|オーブ・オブ・アイス|얼음의 구슬|Eiskugel
relic_122|Orb of Poison|Myrkkypallo|Orbe de Veneno|Сфера яда|毒之法球|オーブ・オブ・ポイズン|맹독의 구슬|Giftkugel
relic_123|Orb of Chaos|Kaaospallo|Orbe do Caos|Сфера хаоса|混沌法球|オーブ・オブ・カオス|혼돈의 구슬|Kugel des Chaos
relic_124|Large Beer|Iso olut|Cerveja Grande|Большая кружка пива|巨鹿|大型のビヤ|큼지막한 맥주|Großes Bier
relic_125|Bouncy|Pomppija|Saltitante|Попрыгунчик|弹性|よく弾む|바운시|Flummi
relic_126|Magnet|Magneetti|Magnético|Магнит|磁铁|磁石|자석|Magnet
relic_127|Balalayka|Balalaika|Balalayka|Балалайка|三弦琴|バラライカ|발랄라이카|Balalayka
relic_128|Darts|Tikat|Dardos|Метательный дротик|飞镖|ダーツ|다트|Dartpfeile
relic_129|Small Spikey|Pikkupiikki|Pequeno Spikey|Маленькая Колючка|小钉子|小さなスパイキー|작은 가시공|Kleiner Stachel
relic_130|Satan's Horn|Saatanan sarvi|Chifre de Satanás|Рог Сатаны|撒旦之角|サタンの角|사탄의 뿔|Teufelshorn
relic_131|Necromancer's Finger|Manaajan sormi|Dedo do Necromante|Палец некроманта|亡灵巫师的手指|ネクロマンサーの指|강령술사의 손가락|Finger des Nekromanten
relic_132|Jar of Flies|Kärpäspurkki|Frasco de moscas|Мухи в банке|一罐苍蝇|一缶分のハエ|파리가 든 병|Glas voller Fliegen
relic_133|Satan's Tooth|Saatanan hammas|Dente de Satanás|Зуб Сатаны|撒旦之牙|サタンのツース|사탄의 이빨|Satans Zahn
relic_134|Butterfly Knife|Perhosveitsi|Canivete borboleta|Нож-бабочка|蝴蝶刀|バタフライナイフ|발리송|Klappmesser
relic_135|Lightning Ball|Sähköpallo|Bola de relâmpago|Шаровая молния|闪电球|ライトニングボール|번개 공|Blitz-Kugel
relic_136|Steam Sale|Steam alennus|Venda na Steam|Распродажа в Steam|Steam促销|Steamセール|스팀 세일|Steam-Sale
relic_137|ES Energy|ES Energia|ES Energia|Энергетик|ES能量|ESエネルギー|ES 에너지|ES Energie
relic_138|Boomerang|Bumerangi|Bumerangue|Бумеранг|回旋镖|ブーメラン|부메랑|Bumerang
relic_139|Squishy the Suicidal Pig|Itsetuhoinen possu Squishy|Squishy o porco suicida|Свинка-самоубийца Сквиши|自杀小猪史乖宝|自殺子豚スクイジー|자살 돼지 스퀴시|Squishy, das Suizidgefährdete Schwein
relic_140|Satan's Eye|Saatanan silmä|Olho de satanás|Глаз Сатаны|撒旦之眼|サタンの目|사탄의 눈|Satans Auge
relic_141|Homing Shots|Hakeutuvat ohjukset|Tiros de identificação|Система самонаведения|追踪子弹|ホーミングショット|유도탄|Zielsuchende Schüsse
relic_142|Light Cola|Kevytkola|Cola Leve|Coca-Cola Light|淡可乐|ライトコーラ|라이트 콜라|Cola Light
relic_143|The Holy Grail|Graalin malja|O Santo Graal|Святой Грааль|圣杯|ホーリー・グレイル|성배|Der Heilige Gral
relic_144|Monkey King Bar|Apinakuninkaan sauva|Bar do Rei Macaco|Посох Короля обезьян|猴王酒吧|モンキーキングバー|여의봉|Stab des Affenkönigs
relic_145|Horned Mask|Sarvinaamio|Máscara de chifre|Рогатый шлем|带角面具|角のあるマスク|뿔 가면|Gehörnte Maske
relic_146|Honey Bee|Mehiläinen|Abelha de Mel|Пчела|蜜蜂|ミツバチ|꿀벌|Honigbiene
relic_147|Sun Flare|Auringon säde|Alargamento solar|Солнечные лучи|太阳火焰|サンフレア|일광|Sonneneruption
relic_148|1000 KG|1000 KG|1000 KG|1000 КГ|1000 KG|1000 KG|1000 KG|1000 KG
relic_149|Pickled Brain|Säilötyt aivot|Cérebro em Conserva|Маринованные мозги|腌脑子|塩つけの脳みそ|뇌 절임|Eingelegtes Gehirn
relic_150|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe|Keygen.exe
relic_151|Dragon's Head|Lohikäärmeen pää|Cabeça de Dragão|Голова дракона|龙首|ドラゴンの頭|용의 머리|Drachenkopf
relic_152|Winner's Drug|Voittajan huume|Drogas do vencedor|Победный допинг|胜者药剂|勝者の薬剤|승자의 약물|Siegerdroge
relic_153|Casino Die|Kasinonopat|Dados do Casino|Игральная кость|赌场骰子|カジノダイス|카지노용 주사위|Casino Würfel
relic_154|Lottery Ticket|Lottokuponki|Bilhete de loteria|Лотерейный билет|彩票|宝くじのチケット|복권|Lotterieschein
relic_155|Vadjra|Vadjra|Vadjra|Ваджра|金刚|ヴァジュラ|바디라|Vadjra
relic_156|Maryo's Pipe|Maryon putki|Cano de Maryo's|Труба Марио|马瑞奥的管子|マリオのパイプ|마리요의 배관|Maryo's Rohr
relic_157|Rotten Apple|Mätä omena|Maçã podre|Гнилое яблоко|腐烂苹果|腐ったリンゴ|썩은 사과|Fauler Apfel
relic_158|Hand of Midas|Midaan käsi|Mão de Midas|Рука Мидаса|美狄亚之手|ハンド・オブ・ミダス|미다스의 손|Hand des Midas
relic_159|Oversized|Ylisuurennus|Muito Grande|Огромный размер|超大|オーバーサイズ|거대화|Überdimensioniert
relic_160|Daddy's Key Chain|Isin avaimet|A Corrente da Chave do Paizinho|Папина связка ключей|爸爸的钥匙链|お父さんのキーチェーン|아빠의 열쇠고리|Daddy's Schlüsselanhänger
relic_161|Fortune Card|Onnen kortti|Cartão da fortuna|Карта удачи|幸运卡|フォーチュンカード|행운의 카드|Schicksalskarte
relic_162|Delicious Pie|Herkkupiiras|Torta Deliciosa|Вкусный пирог|美味的派|美味しいパイ|맛있는 파이|Köstliche Torte
relic_163|Amazon's Spears|Amatsonin keihäät|Lanças da Amazon|Копья амазонки|亚马逊矛|アマゾンのスピア|아마존의 창|Amazonenspeer
relic_164|Jungle Vial|Viidakkopullo|Frasco da selva|Джунгли в пробирке|丛林药水|ジャングルバイアル|정글 시약|Dschungel-Fläschchen
relic_165|Mana Dice|Taikanopat|Dados de Mana|Кубики маны|能量骰子|マナ・ダイス|마나 주사위|Mana Würfel
relic_166|A Wizard's Hat|Velhon hattu|O Chapéu de um Feiticeiro|Шляпа волшебника|巫师帽|ウィザードの帽子|마법사의 모자|Ein Zaubererhut
relic_167|Zombie's Face|Zombien naama|Cara de Zumbi|Лицо зомби|僵尸脸|ゾンビの顔|좀비 얼굴|Zombiegesicht
relic_168|Metal Detector|Metallinpaljastin|Detector de Metal|Металлоискатель|金属探测器|金属探知機|금속 탐지기|Metalldetektor
relic_169|Loot-A-Rang|Loot-A-Rang|Loot-A-Rang|Шмотаранг|抢掠|Loot-A-Rang|Loot-A-Rang|Loot-A-Rang
relic_170|Prop Hunt Kit|Prop Hunt Kit|Prop Hunt Kit|Набор для игры в прятки|道具狩猎装备|Prop Hunt Kit|Prop Hunt Kit|Prop Hunt Kit
relic_171|Doggo|Doggo|Doggo|Doggo|Doggo|Doggo|Doggo|Doggo
relic_172|Steve's Dirty Head|Steve's Dirty Head|Steve's Dirty Head|Steve's Dirty Head|史蒂夫的脏脑袋|Steve's Dirty Head|Steve's Dirty Head|Steve's Dreckiger Kopf
relic_173|Old Man's Coffee Mug|Old Man's Coffee Mug|Old Man's Coffee Mug|Old Man's Coffee Mug|老人的咖啡杯|Old Man's Coffee Mug|Old Man's Coffee Mug|Kaffeetasse des alten Mannes
relic_174|Damien's Left Eye|Damien's Left Eye|Damien's Left Eye|Damien's Left Eye|达米恩的左眼|Damien's Left Eye|Damien's Left Eye|Damien's Linkes Auge
relic_175|Mage's Handbook|Mage's Handbook|Mage's Handbook|Mage's Handbook|法师手册|Mage's Handbook|Mage's Handbook|Magier Handbuch
relic_176|Old Runestone|Old Runestone|Old Runestone|Old Runestone|旧石碑|Old Runestone|Old Runestone|Alter Runenstein
relic_177|Lost Wand|Lost Wand|Lost Wand|Lost Wand|失落的魔杖|Lost Wand|Lost Wand|Verlorener Zauberstab
relic_178|Wizard's Mind Bomb|Wizard's Mind Bomb|Wizard's Mind Bomb|Wizard's Mind Bomb|巫师的心灵炸弹|Wizard's Mind Bomb|Wizard's Mind Bomb|Zauberers Gedächtnisbombe
relic_179|Phoenix Feather|Phoenix Feather|Phoenix Feather|Phoenix Feather|凤凰羽|Phoenix Feather|Phoenix Feather|Phönixfeder
relic_180|Newt Tail|Newt Tail|Newt Tail|Newt Tail|蝾螈尾|Newt Tail|Newt Tail|Molchschwanz
relic_181|Daze Rune|Daze Rune|Daze Rune|Daze Rune|大泽符文|Daze Rune|Daze Rune|Verwirrungsrune
relic_182|Magic Sphere|Magic Sphere|Magic Sphere|Magic Sphere|魔球|Magic Sphere|Magic Sphere|Magische Sphäre
relic_183|Arcane Boots|Arcane Boots|Arcane Boots|Arcane Boots|秘法鞋|Arcane Boots|Arcane Boots|Arkanstiefel
relic_184|Golden Fleece|Golden Fleece|Golden Fleece|Golden Fleece|金羊毛|Golden Fleece|Golden Fleece|Goldenes Vlies
relic_185|Shield of El Cid|Shield of El Cid|Shield of El Cid|Shield of El Cid|厄尔西德之盾|Shield of El Cid|Shield of El Cid|Schild des El Cid
relic_186|Seven-League Boots|Seven-League Boots|Seven-League Boots|Seven-League Boots|七联靴|Seven-League Boots|Seven-League Boots|Sieben-Liga-Stiefel
relic_187|Mantle of Arthus|Mantle of Arthus|Mantle of Arthus|Mantle of Arthus|阿尔萨斯地幔|Mantle of Arthus|Mantle of Arthus|Mantel des Arthus
relic_1000|Candy Basket|Karkkikori|Cesta de doces|Корзина конфет|糖果篮|キャンディバスケット|사탕 바구니|Süßigkeitenkorb
relic_1001|Snowball|Lumipallo|Bola de neve|Снежок|雪球|スノーボール|눈덩이|Schneeball
relic_1002|Thief's Glove|Varkaan käsine|Luva de ladrão|Перчатка вора|神偷手套|泥棒の手袋|도둑의 장갑|Diebeshandschuh
relic_1003|Shocker-3000|Sähkötin-3000|Shocker-3000|Шокер-3000|冲击枪-3000|ショッカー-3000|쇼커 -3000|Schocker-3000
relic_1004|Flail|Varsta|Mangual|Цеп|连枷|フレイル|플레일|Morgenstern
relic_1005|Soul Box|Sielulaatikko|Caixa de Almas|Коробка душ|灵魂箱|ソウルボックス|소울 박스|Seelenbox
relic_1006|Chicken Mask|Kananaamari|Máscara de Galinha|Маска курицы|小鸡面具|チキンマスク|치킨 마스크|Hühnchen-Maske
relic_1007|Cursed Book|Kirottu kirja|Livro Amaldiçoado|Проклятая книга|受诅咒的书|呪われた本|저주받은 책|Verfluchtes Buch
relic_1008|Head Extractor|Päänkeräin|Arranca Cabeças|Главный экстрактор|斩首器|ヘッドエクストラクター|헤드 추출기|Kopf-Auszieher
relic_1009|Bomb|Pommi|Bomba|Взрывчатка|炸弹|ボム|폭탄|Bombe
relic_1010|Fish Net|Kalaverkko|Rede de Pesca|Рыбная сеть|鱼网|フィッシュネット|피시 넷|Fischnetz
relic_1011|Book of Command|Komennusten kirja|Livro do Comando|Книга командования|指挥书|支配の書|커맨드 북|Buch der Beherrschung
relic_1012|Sucker-5000|Imuri-5000|Otário-5000|Присоска-5000|吸力枪-5000|サッカー-5000|써커 5000|Sauger-5000
relic_1013|Sucker-5000-B|Imuri-5000-B|Otário-5000-B|Присоска-5000-B|吸力枪-5000-B|サッカー-5000-B|써커 5000-B|Sauger-5000-B
[relic_text_ingame]||||||||
relic_ig_0|Cursed...|Kirottu...|Maldito...|Проклятие...|被诅咒了...|呪われた...|저주를 받아라...|Verflucht...
relic_ig_1|Behhhh!|Bäääää!|Behhhh!|Бе-е-е-е-е!|呜哇！|ベンンンン！|메에에에!|Bähhhhh!
relic_ig_2|Faster Attacks!|Nopeammat iskut!|Ataques Rápidos!|Ускорение атак!|更快的攻击|より速い攻撃！|속공!|schnellere Angriffe!
relic_ig_3|Cold... Very cold...|Kylmä... Niin kylmä...|Frio... Muito frio...|Холодно... Очень холодно...|冷...非常冷...|寒い...非常に寒い...|차갑다... 너무 차갑워...|Kalt... Sehr kalt...
relic_ig_4|Deadly but Weak.|Kuolettava mutta heikko.|Mortal mas fraco.|Смертоносный, но уязвимый.|致命而脆弱|致命的だが 弱い んだ。|치명적이지만 나약해지는.|Tödlich, aber schwach.
relic_ig_5|Poison Touch!|Myrkkykosketus!|Toque venenoso!|Отравляющее касание!|剧毒之触！|ポイズンタッチ！|닿기만 해봐!|Giftige Berührung!
relic_ig_6|Quack!|Kvaak!|Grasnar!|Кря-кря!|嘎！|ガーガー！|꽥꽥!|Quack!
relic_ig_7|Damage up!|Lisää vahinkoa!|Dano Aumentado!|Увеличение урона!|伤害提升！|ダメージアップ！|공격력 증가!|Schaden erhöht!
relic_ig_8|Spectral projectiles!|Haamuammukset!|Projetos espectral!|Призрачные снаряды!|幽灵投射物！|スペクトル発射体！|모든 걸 관통!|Spektralgeschosse!
relic_ig_9|All Stats Up!|Lisää kaikkiin pisteisiin!|Todos Status Aumentados!|Повышение всех характеристик!|全属性提升！|すべて の スタッツ を アップ！|모든 능력치 증가!|Alle Statuswerte erhöht!
relic_ig_10|Lightning Enchant!|Sähköistetty!|Encantamento Relampago!|Сила молнии!|电属性强化！|ライトニング ・ エンチャント！|번개의 힘!|Blitz-Verzauberung!
relic_ig_11|Fire Enchant!|Tulinen!|Fogo Encantado!|Сила огня!|火属性强化！|ファイア ・ エンチャント！|화염의 힘!|Feuer-Verzauberung!
relic_ig_12|No... More... Legs...|Ei... Enää... Jalkoja...|Não... Mais... Pernas...|Нет... больше... ног...|没...有...腿...了...|足が...もう...ないよ...|다리가... 없... 어...|Keine... Beine... Mehr...
relic_ig_13|Hail to the king!|Kumarra kuningasta!|Viva ao Rei!|Да здравствует король!|陛下万岁！|陛下万歳！|폐하 만세!|Es lebe der König!
relic_ig_14|Eternal Life!|Ikuinen elämä!|Vida eterna!|Вечная жизнь!|永生！|エターナルライフ！|영원한 삶!|Ewiges Leben!
relic_ig_15|Slice! Slice!|Leikkaa! Leikkaa!|Fatia! Fatia!|Режь! Режь!|切！切！|スライス！ スライス！|산산! 조각!|Schlitz! Schlitz!
relic_ig_16|Death Be Gone!|Mene pois kuolema!|A Morte se oi!|Смерть, иди прочь!|没有死亡了！|死は立ち切れた！|내 사전에 죽음은 없다!|Tod verschwind!
relic_ig_17|Random Stat Up!|Satunnainen piste!|Status Aleatorio Aumentado!|Повышение случайной характеристики!|随机属性提升！|ランダム スタッツ アップ！|임의의 능력치 증가!|Zufällige Statuswerterhöhung!
relic_ig_18|Damage & Health Up!|Lisää vahinkoa ja elämää!|Dano e Saúde Aumentados!|Увеличение урона и здоровья!|伤害&生命值提升！|ダメージ ＆ ヘルス アップ！|공격력과 체력 증가!|Schaden & Lebenspunkte erhöht!
relic_ig_19|Speed Up!|Lisää nopeutta!|Velocidade Aumentada!|Увеличение скорости!|速度提升！|スピードアップ！|이동 속도 증가!|Geschwindigkeit erhöht!
relic_ig_20|Health Up!|Lisää elämää!|Vida Aumentada!|Увеличение здоровья!|生命值提升！|ヘルスアップ！|체력 증가!|Lebenspunkte erhöht!
relic_ig_21|Damage Up!|Lisää vahinkoa!|Dano Aumentado!|Увеличение урона!|伤害提升！|ダメージアップ！|공격력 증가!|Schaden erhöht!
relic_ig_22|Slam!|Slam!|Bate!|Круши!|嘭！|スラム！|펑!|Klatsch!
relic_ig_23|Companion!|Kumppani!|Companheiro!|О! Новый друг!|同伴！|コンパニオン！|동료!|Gefährte!
relic_ig_24|Exploding Tears!|Räjähtävät kyyneleet!|Explodindo Lágrimas!|Взрывающиеся слезы!|爆炸眼泪！|爆発ティアズ！|폭발하는 눈물!|Explodierende Tränen!
relic_ig_25|Cursed!|Kirottu!|Maldito!|Проклятие!|被诅咒了！|呪われた！|저주받을지어다!|Verflucht!
relic_ig_26|Faster Attacks!|Nopeammat iskut!|Ataques Rápidos!|Ускорение атак!|更快的攻击！|より速い攻撃！|속공!|Schnellere Angriffe!
relic_ig_27|Health Up!|Lisää elämää!|Saúde Aumentada!|Увеличение здоровья!|生命值提升！|ヘルスアップ！|체력 증가!|Lebenspunkte erhöht!
relic_ig_28|Health Up!|Lisää elämää!|Saúde Aumentada!|Увеличение здоровья!|生命值提升！|ヘルスアップ！|체력 증가!|Lebenspunkte erhöht!
relic_ig_29|Flaming trail!|Liekehtivä jälki!|Trilha flamejante!|Огненные следы!|火焰踪迹！|フレイミング トレイル！|불타는 자국!|Flammende Spur!
relic_ig_30|Lifesteal!|Elämänvarastus!|Roubo de Vida!|Похищение жизни!|生命偷取！|ライフスチール！|흡혈!|Lebensraub!
relic_ig_31|Poison Shots|Myrkkyiskut|Tiros Venenosos!|Отравленные снаряды|毒性射击|ポイズンショット|맹독 발사|Giftschüsse
relic_ig_32|Strong but Slow|Vahva mutta hidas|Forte mais lento|Сильный, но неповоротливый|强大但缓慢|強いんだが遅い|강하지만 느린|Stark, aber langsam
relic_ig_33|A Sacred Stone.|Pyhä kivi.|Uma Pedra Sagrada.|Священный камень.|一块神圣的石头|一個 の セイクリッド ストーン。|신성한 돌.|Ein heiliger Stein.
relic_ig_34|Divine Power!|Pyhää voimaa!|Poder divino!|Божественная сила!|神的力量！|神の力！|성스러운 힘!|Göttliche Kraft!
relic_ig_35|Da Supplies!|Tarvikkeita!|Da Suprimentos!|Припасы!|补给！|補給！|그 포션들!|Da Nachschub!
relic_ig_36|Healing Power!|Parantavaa voimaa!|Poder de cura!|Целительная сила!|治疗能力！|治癒の力！|치유력!|Heilungskraft!
relic_ig_37|Attack Power!|Hyökkäysvoimaa!|Poder de ataque!|Сила атаки!|攻击能力！|攻撃の力！|공격력!|Angriffskraft!
relic_ig_38|Massive Damage!|Massiivinen Vahinko!|Danos enormes!|Смертельный удар.|巨大的伤害！|大きなダメージ！|엄청난 피해!|Massiver Schaden!
relic_ig_39|Stoning Effect.|Kivettävä vaikutus|Efeito Entorpecedor|Окаменение|石击效果|石化効果。|돌 효과.|Versteinernder Effekt.
relic_ig_40|Critical Chance.|Kriittinen mahdollisuus|Chance crítica.|Шанс критического попадания.|暴击机会|クリティカル チャンス。|치명타률.|Kritische Chance.
relic_ig_41|Very Fast Attacks!|Todella nopeat iskut!|Ataques muito rápidos!|Ускорение атак!|超快的攻击！|非常に速い攻撃！|급속공!|Sehr schnelle Angriffe!
relic_ig_42|The Guardian.|Suojelija.|O guardião.|Защитник.|守护者|ガーディアン。|수호자.|Der Wächter.
relic_ig_43|Money is power!|Raha on voimaa!|Dinheiro é poder!|Сила в деньгах!|金钱就是力量！|お金は力である！|돈이 곧 힘이다!|Geld ist Macht!
relic_ig_44|Armor Up!|Lisää haarniskaa!|Armadura Aumentada!|Увеличение брони!|护甲提升！|アーマーアップ！|방어력 증가!|Rüstung erhöht!
relic_ig_45|Burning Power.|Polttava voima.|Potência de queima.|Сила огня!|燃烧能力|燃焼の力。|불타오르는 힘.|Verbrennungskraft.
relic_ig_46|Spiky, Ouch!|Piikikäs, auts!|Espetado, Ai!|Ай! Колючий!|啊，带刺的！|スパイキー、 痛いっ！|뾰족 뾰족, 아야!|Stachelig, Autsch!
relic_ig_47|Odin's Fury!|Odinin viha!|Fúria de Odin!|Ярость Одина!|奥丁之怒！|オーディンの怒り！|오딘의 분노!|Odins Zorn!
relic_ig_48|Toxic huh... Don't poison yourself!|Sait ruton!|Você tem a praga!|Поздравляем! У вас чума!|你感染了瘟疫！|あなた は 疫病 に かかった！|전염병을 지배하는 자!|Du hast die Pest!
relic_ig_49|Health regen.|Elämä palautuu.|Recuperação de Saúde.|Восстановление здоровья.|生命回复。|ヘルス回復。|체력 회복.|Lebenspunkte regenerieren
relic_ig_50|Luck Up!|Lisää onnea!|Sorte Aumentada!|Счастливчик!|幸运提升！|幸運アップ！|운수 좋은 날!|Glück erhöht!
relic_ig_51|Math Skills Up!|Lisää matikkataitoa!|Math Habilidades Aumentadas!|Опа! Вот это шляпа!|数学技能提升！|数学スキルアップ！|수학 실력 증가!|Mathe-Fähigkeiten erhöht!
relic_ig_52|Keeps evil away.|Pitää pahan loitolla.|Mantém o mal longe.|Оберегает от зла.|驱走邪恶|邪悪を遠ざける。|나쁜 것은 저 멀리.|Hält das Böse fern.
relic_ig_53|Satanic power!|Saatanallista voimaa!|Poder satânico!|Демоническая сила!|恶魔之力！|魔王の力！|사탄의 힘!|Satanische Macht!
relic_ig_54|The Harvest Begins|Sadonkorjuu alkaa.|A colheita começa|Время собирать урожай!|收成的时候到了|収穫が始まる|추수 시작|Die Ernte beginnt
relic_ig_55|Cold... Hot...|Kylmä... Kuuma...|Frio... Quente...|Холодно... Горячо...|冷。。。 热。。。|冷たい。。。 熱い。。。|차갑고... 뜨겁다...|Kalt... Heiß...
relic_ig_56|Swift, so swift!|Nopea, niin nopea!|Rápido, tão rápido!|Вот это скорость!|好快，太快了！|すばやい、 とても すばやい ぞ！|빨라도 너무 빨라!|Schnell, so schnell!
relic_ig_57|Stab Stab Stab!|Iske iske iske!|Facada Facada Facada!|Чоп, чоп, чоп!|捅捅捅！|刺す刺す刺す！|찌르고 또 찌르고 계속 찔러라!|Stich Stich Stich!
relic_ig_58|99 Keys!|99 avainta!|99 chaves!|99 ключей!|99把钥匙！|99枚鍵！|열쇠 99개!|99 Schlüssel!
relic_ig_59|Bleed!|Vuoda kuiviin!|Sangrar!|Кровотечение!|流血！|出血！|출혈!|Bluten!
relic_ig_60|Homing Missiles!|Hakeutuvat ohjukset!|Mísseis Teleguiados!|Самонаводящиеся ракеты!|追踪导弹！|ホーミング ミサイル！|유도 미사일!|Zielflugraketen!
relic_ig_61|Rainbow Drool!|Oksenna sateenkaaria!|Drool do arco-íris!|Блевать радугой|彩虹口水！|レインボーよだれ！|무지개 너무 좋아!|Regenbogen-Sabber!
relic_ig_62|Instant Item Pickup!|Nostaa esineet heti!|Coleta instantânea de itens!|Мгновенный подбор предметов!|立即拾取物品！|即刻 アイテム を 拾え！|아이템 즉시 획득!|Sofortige Itemaufnahme!
relic_ig_63|Trololo|Trololo|Trololo|Трололо|瑞克摇摆|トゥロロ|트롤의 똥|Trololo
relic_ig_64|Flames of Agony|Tuskan liekit|Chamas da agonia|Пламя агонии|傲慢的火焰|傲慢な炎|고통의 불꽃|Flammen der Qualen
relic_ig_65|Ice Shockwave|Jääpaineaalto|Onda de Gelo|Ледяная волна|寒冰冲击波|アイス ・ ショック ・ ウェーブ|냉기 충격파|Eis-Druckwelle
relic_ig_66|Rupture...|Revi ne kappaleiksi...|Ruptura...|Разорви их на куски!|决裂...|破裂...|파열...|Bruch...
relic_ig_67|Blood Shockwave|Veripaineaalto|Onda de choque de sangue|Море крови!|血冲击波|ブラッド ・ ショック ・ ウェーブ|피의 충격파|Blut-Druckwelle
relic_ig_68|Shoots homing missiles!|Ampuu hakeutuvia ohjuksia!|Atira mísseis!|Стреляет самонаводящимися ракетами!|发射追踪导弹！|ホーミング ミサイル を 打て！|유도 미사일 발사!|Schießt Zielflugraketen!
relic_ig_69|Touch of Death...|Kuoleman kosketus...|Toque da Morte...|Касание Смерти...|死亡之触。。。|タッチ・オブ・デス。。。|죽음의 손길...|Berührung des Todes...
relic_ig_70|End of the world!|Maailmanloppu!|Fim do mundo!|Конец света!|世界的终末！|世界の終末！|세상의 종말!|Das Ende der Welt!
relic_ig_71|Seek N Destroy!|Etsi ja tuhoa!|Procure e destruir!|Найти и уничтожить!|找到并毁灭！|捜し出して、 そして滅ぼす！|찾아 가서 파괴한다!|Suche und Zerstören!
relic_ig_72|Divine Shield|Pyhä kilpi!|Escudo Divino|Божественный щит|神圣护盾|神の盾|성스러운 방어막|Göttliches Schild
relic_ig_73|Ancient Weapon|Muinainen ase|Arma antiga|Древнее оружие|古老的武器|古代の武器|고대의 무기|Antike Waffe
relic_ig_74|ahihihihiahahah|ahihihihiahahah|ahihihihiahahah|Хи-хи-хи! Ха-ха-ха!|啊嘿嘿嘿哈哈哈|アヒヒヒハハハ|아히히히히아아아|Ahihihihihihiahahahahah
relic_ig_75|Explodes on collision.|Räjähtää kosketuksesta.|Explode na colisão.|Детонирует при контакте|一触即炸。|衝突で爆発する。|건들면 폭발.|Explodiert bei Kollision.
relic_ig_76|An old mystic Cube..|Vanha mystinen kuutio..|Um velho cubo místico ..|Загадочный древний куб...|一个古老的神秘立方体。|古い神秘的なキューブ。|오래된 신비 큐브 ..|Ein alter mystischer Würfel...
relic_ig_77|An old mystic Cube..|Vanha mystinen kuutio..|Um velho cubo místico ..|Загадочный древний куб...|一个古老的神秘立方体。|古い神秘的なキューブ。|오래된 신비 큐브 ..|Ein alter mystischer Würfel...
relic_ig_78|An old mystic Cube..|Vanha mystinen kuutio..|Um velho cubo místico ..|Загадочный древний куб...|一个古老的神秘立方体。|古い神秘的なキューブ。|오래된 신비 큐브 ..|Ein alter mystischer Würfel...
relic_ig_79|This Dagger has seen some stuff...|Tämä Tikari on nähnyt asioita...|Este punhal viu algumas coisas...|Этот кинжал был свидетелем ужасных событий...|这个匕首看过一些东西...|この短剣はいくつかのものを見てきました...|이 단검은 어떤 것들을 보았습니다...|Dieser Dolch hat einige Sachen gesehen...
relic_ig_80|This Dagger has seen some stuff...|Tämä Tikari on nähnyt asioita...|Este punhal viu algumas coisas...|Этот кинжал был свидетелем ужасных событий...|这个匕首看过一些东西...|この短剣はいくつかのものを見てきました...|이 단검은 어떤 것들을 보았습니다...|Dieser Dolch hat einige Sachen gesehen...
relic_ig_81|This Dagger has seen some stuff...|Tämä Tikari on nähnyt asioita...|Este punhal viu algumas coisas...|Этот кинжал был свидетелем ужасных событий...|这个匕首看过一些东西...|この短剣はいくつかのものを見てきました...|이 단검은 어떤 것들을 보았습니다...|Dieser Dolch hat einige Sachen gesehen...
relic_ig_82|Just a regular Sword..|Vain tavallinen miekka..|Apenas uma espada regular ..|Просто обычный меч...|只是普通的剑|ただの通常の剣。|그냥 일반 검 ..|Nur ein normales Schwert...
