[talents]|en|fi|pt|ru|zh|ja|ko|de
pirate_desc_6|The Gunner throws down a trail of gunpowder that can be ignited by attacks and abilities.|Ampuja heittää ruutivanan, joka voidaan sytyttää hyökkäyksillä ja taidoilla.|O artilheiro lança uma trilha de pólvora que pode ser inflamada por ataques e habilidades.|Базовая Атака Канонира имеет шанс оставить Пороховой След, который можно поджечь Атаками и Способностями.|炮手投下了可以被攻击和能力点燃的火药踪迹。|射手は攻撃と能力によって発火する火薬の跡を投げます。|사수는 공격과 능력에 의해 발화 될 수있는 화약의 흔적을 던져 버립니다.|Der Schütze wirft eine Spur Schießpulver ab, die durch Angriffe und Fähigkeiten entzündet werden kann.
pirate_desc_7|Gunners bullets have a chance of exploding on contact.|Amujan ammuksilla on mahdollisuus räjähtää kosketuksessa.|As balas dos artilheiros têm chance de explodir em contato.|Снаряды Базовой Атаки имеют шанс взорваться при попадании.|枪手的子弹有可能在接触时爆炸。|砲手弾は接触時に爆発する可能性があります。|총알 탄환은 접촉시 폭발 할 확률이 있습니다.|Kanoniergeschosse können bei Kontakt explodieren.
pirate_desc_8|The Gunner's attacks have a chance to maim the target slowing its movement speed drastically.|Ampujan hyökkäyksillä on mahdollisuus runnella kohdetta hidastaen sen liikkumisnopeutta drastisesti.|Os ataques do artilheiro têm a chance de mutilar o alvo, diminuindo drasticamente a velocidade de movimento.|Базовая Атака Канонира может Замедлить врага.|炮手的攻击有机会使目标残障，从而大大降低其移动速度。|砲手の攻撃は、ターゲットの動き速度を大幅に低下させる可能性があります。|사수의 공격은 대상의 이동 속도를 획기적으로 늦출 수 있습니다.|Die Angriffe des Schützen haben die Chance, das Ziel zu verstümmeln und seine Bewegungsgeschwindigkeit drastisch zu verlangsamen.
pirate_desc_9|Boosts Gunner's weapon for a short time increasing attack speed.|Tehostaa Ampujan asetta lyhyeksi aikaa nostaen hyökkäysnopeutta.|Aumenta a arma do atirador por um curto período, aumentando a velocidade de ataque.|Временно Усиливает оружие Канонира, увеличивая Скорость Атаки.|短时间内增强炮手的武器，提高攻击速度。|砲手の武器を短時間ブーストし、攻撃速度を上げる。|공격 속도를 증가시키는 짧은 시간 동안 포수의 무기를 강화합니다.|Steigert die Waffe des Schützen für kurze Zeit und erhöht die Angriffsgeschwindigkeit.
pirate_desc_10|The Plunderer has a chance to launch a pair of frozen lead balls at the target, damaging, slowing and pulling enemies together.|Laivojenupottajalla on mahdollisuus laukaista pari jäädytettyä lyijypalloa kohteeseen vahingoittamalla, hidastamalla ja vetämällä vihollisia yhteen.|O Plunderer tem a chance de lançar um par de bolas de chumbo congeladas no alvo, causando dano, reduzindo a velocidade e aproximando os inimigos.|Расхитительница имеет шанс при Базовой Атаке выстрелить цепным книппелем, зачарованным магией Холода, который наносит урон врагам и стягивает их.|掠夺者有机会在目标上发射一对冰冻的铅球，将敌人减速，减速并拉到一起。|プランダラは、ターゲットに凍結した鉛ボールのペアを発射するチャンスがあり、敵にダメージを与え、速度を落とし、引き寄せます。|Plunderer는 한 쌍의 얼어 붙은 리드 볼을 목표물에 발사하여 적에게 피해를주고 속도를 늦추고 끌어 당깁니다.|Der Plünderer hat die Chance, ein Paar gefrorener Bleikugeln auf das Ziel zu werfen, die Feinde beschädigen, verlangsamen und zusammenziehen.
pirate_desc_11|Unleash a giant ball of water that knocks nearby enemies in the air by water torrents.|Vapauta valtava tulva-aalto joka nostaa lähellä olevat viholliset ilmaan.|Libere uma bola de água gigantesca que derruba inimigos próximos no ar por torrentes de água.|Расхитительница сотворяет водяные шары, которые при приземлении создают мощный восходящий поток, который поднимает врагов в воздух.|释放巨大水球，在空中用产生的激流伤害周围的敌人。|巨大な水塊を解き放ち、その激流で近くに飛んでいる敵を倒します|상공에서 공격하는 근거리의 적들을 급류로 쓸어버리십시요.|Entfessele eine riesige Wasserkugel, die nahe gelegene Feinde mit Sturzfluten in die Luft wirft.
pirate_desc_12|The Plunderers attacks have a chance to increase her movement and attack speed.|Laivanupottajan hyökkäyksien on mahdollisuus lisätä hänen liikkumistaan ja hyökkäysnopeuttaan.|Os ataques dos saqueadores têm uma chance de aumentar seu movimento e velocidade de ataque.|При Базовой Атаке и сотворении Способностей Расхитительница имеет шанс получить бафф, увеличивающий Скорость Атаки и Скорость Передвижения.|掠夺者的攻击有机会提高她的移动速度和攻击速度。|略奪者の攻撃は、彼女の動きと攻撃速度を上げるチャンスがあります。|Plunderers 공격은 그녀의 이동과 공격 속도를 증가시킬 수있는 기회가 있습니다.|Die Plunderers-Angriffe haben eine Chance, ihre Bewegung und Angriffsgeschwindigkeit zu erhöhen.
pirate_desc_13|The Plunderer calls for her Parrot to fight for her, damaging nearby enemies with its beak. Lasts 30 seconds|Laivojenupottaja pyytää Papukaijaa taistelemaan hänen puolestaan vahingoittamalla läheisiä vihollisia nokalla. Kestää 30 sekuntia|O Plunderer chama seu papagaio para lutar por ela, causando dano aos inimigos próximos com seu bico. Dura 30 segundos|Расхитительница призывает своего Попугая, который Атакует врагов своим мощным клювом. Длительность 30 секунд.|掠夺者号召她的鹦鹉为她战斗，用它的喙伤害附近的敌人。持续30秒|プランダラはオウムに彼女のために戦うように呼びかけ、くちばしで近くの敵にダメージを与えます。 30秒続く|약탈자는 앵무새에게 그녀를 위해 싸워달라고 부르며 부리로 주변 적들에게 피해를줍니다. 30 초 동안 지속됩니다.|Die Plündererin fordert ihren Papagei auf, für sie zu kämpfen und den Gegnern in der Nähe mit ihrem Schnabel Schaden zuzufügen. Hält 30 Sekunden an
pirate_desc_14|The Plunderer swings a massive anchor around her damaging and stunning enemies in its way.|Laivojenupottaja pyörittää massiivista ankkuria ympärillään vahingoittaen ja tainnutaen vihollisia sen tiellä.|O saqueador lança uma enorme âncora ao redor de seus inimigos prejudiciais e impressionantes.|Расхитительница вращает тяжеленный якорь на цепи, нанося урон врагам и Оглушая их.|掠夺者以其破坏力和令人惊叹的敌人的身躯挥舞着巨大的锚。|略奪者はその方法で彼 女の有害で見事な敵の 周りに巨大なアンカー を振ります。|약탈자는 피해를주고 놀라운 적을 중심으로 거대한 닻을 내립니다.|Die Plündererin schwingt einen massiven Anker um ihre schädlichen und atemberaubenden Feinde.
pirate_desc_15|Increases Parrots damage and attack speed.|Nostaa Papukaijan vahinkoa ja hyökkäysnopeutta.|Aumenta o dano dos papagaios e a velocidade de ataque.|Увеличивает урон и Скорость Атаки Попугая.|增加鹦鹉的伤害和攻击速度。|オウムのダメージと攻撃速度を増加させます。|앵무새의 데미지와 공격 속도가 증가합니다.|Erhöht den Schaden von Papageien und die Angriffsgeschwindigkeit.
pirate_desc_16|The Plunderer has a chance to empower herself causing her rounds to deal additional Cold Damage and apply Chill to targets.|Laivojenupottajalla on mahdollisuus voimaannuttaa itsensä ja aiheuttaa ammuksillansa lisättyä kylmävauriota ja jäädyttää kohteet.|O saqueador tem a chance de se capacitar, fazendo com que seus turnos causem dano de frio adicional e apliquem frio aos alvos.|Расхитительница при Базовой Атаке имеет шанс усилить свои снаряды на несколько секунд. Снаряды Базовой Атаки наносят больше Урона Холодом и Охлаждают врагов.|掠夺者有机会增强自己的能力，使自己的回合造成额外的冰冷伤害并对目标施加寒冷。|略奪者は自分自身に力を与えて、ラウンドに追加の冷気ダメージを与え、ターゲットに冷気を与えます。|약탈자는 자신의 힘으로 적들에게 추가 냉기 피해를 입히고 대상에게 냉기를 적용합니다.|Die Plündererin hat die Chance, sich selbst zu stärken, wodurch ihre Runden zusätzlichen Kälteschaden verursachen und Ziele kalt werden lassen.
pirate_desc_17|Increases Plunderers and her party members Magic Find.|Nostaa Laivojenupottajan ja hänen liittolaisten Löytöonnea.|Aumenta os saqueadores e a descoberta mágica dos membros de seu grupo.|Увеличивает Удачу Расхитительницы и ее союзников.|增加掠夺者及其党员的魔法发现。|略奪者と彼女のパーティーメンバーの魔法の発見を増やします。|약탈자와 파티원의 마술 찾기가 증가합니다.|Erhöht die Plünderer und den magischen Fund ihrer Parteimitglieder.
pirate_desc_18|The Plunderer marks all nearby targets and launches cannon fire upon them.|Laivojenupottaja merkkaa kaikki lähellä olevat viholliset ja laukaisee tykityksen niitä päin.|O saqueador marca todos os alvos próximos e lança canhões sobre eles.|Расхитительница помечает всех ближайших врагов метками и открывает по ним огонь из корабельных пушек.|掠夺者标记了附近所有目标并向其发射炮弹。|略奪者はすべての近くのターゲットをマークし、それらに大砲を発射します。|약탈자는 근처의 모든 대상을 표시하고 대포를 발사합니다.|Der Plünderer markiert alle in der Nähe befindlichen Ziele und schießt Kanonenfeuer auf sie.
||||||||
nomad_talent_1|Eye of RA|Ran silmä|Olho de RA|Око Ра|RA之眼|RAの目|라의 눈|Auge des RA
nomad_talent_2|Sun Ray|Auringonsäde|raio de Sol|Солнечный Луч|太阳光|サンレイ|선 레이|Sonnenstrahl
nomad_talent_3|Sand Tremors|Hiekka Tärinät|Tremores de areia|Дрожь Песков|沙尘暴|砂の微動|모래 떨림|Sandzittern
nomad_talent_4|Wind & Sand|Hiekka ja tuuli|Vento e areia|Ветер и Песок|风&沙|風と砂|바람과 모래|Wind und Sand
nomad_talent_5|Wind Armor|Tuuli Panssari|Armadura de Vento|Броня Ветра|风甲|風の鎧|바람 갑옷|Windrüstung
nomad_talent_6|Dissipate|Haihdutus|Dissipar|Рассеивать|驱散|放散|소산|Zerstreuen
nomad_talent_7|Demolishing Tornado|Tuhoisa tornado|Tornado Demolidor|Разрушительное Торнадо|毁灭龙卷|破壊のトルネード（竜巻）|파괴를 부르는 회오리 바람|Zerstörender Tornado
nomad_talent_8|Sand Entombment|Hiekka Hauta|Enterro de areia|Погребение под Песками|沙|砂の墓|모래 해부|Sandgrabung
nomad_talent_9|Sandstorm|Hiekkamyrsky|Tempestade de Areia|Песчаная Буря|沙尘暴|砂嵐|모래 폭풍|Sandsturm
nomad_talent_10|Desert Endurance|Aavikkokestävyys|Resistência do deserto|Выносливость обитателя пустыни|沙漠耐力|砂漠の持久力|사막 지구력|Wüstenausdauer
nomad_talent_11|Flying Scimitar|Lentosapelit|Cimitarra Voadora|Летающий Скимитар|飞弯刀|フライング・シミター|비행 언월도|Fliegender Krummsäbel
nomad_talent_12|Traveler|Kulkuri|Viajante|Путешественник|旅行者|トラベラー（旅行者）|떠돌이|Reisender
nomad_talent_13|Rupture|Revähdytys|Ruptura|Глубокие Раны|破裂|破裂|장기 파열|Bruch
nomad_talent_14|Body Double|Kaksoisolento|Corpo duplo|Двойник|身体双|影武者|바디 더블|Körperdouble
nomad_talent_15|Wind Slash|Tuuli Sivallus|Barra de vento|Рассечение Ветром|风斩|風斬り|바람 슬래시|Windhieb
nomad_talent_16|Vanish|Häivytys|Desaparecer|Исчезновение|消失|バニッシュ（消失）|무소|Verschwinden
nomad_talent_17|Phantom Blades|Kummitusterät|Lâmina Fantasma|Призрачные Клинки|幻影之刃|ファントムブレード|팬텀 블레이드|Phantomklingen
nomad_talent_18|Wind Blades|Tuulimiekat|Lâmina de vento|Клинки Ветра|风叶片|風の刃|바람 블레이드|Windblätter
||||||||
nomad_desc_1|Gives a chance to summon rays of sunlight damaging random enemies nearby.|Antaa mahdollisuuden kutsua auringonsäteitä tekemään vahinkoa satunnaiseen viholliseen.|Dá a chance de convocar raios de sol, danificando inimigos aleatórios por perto.|Дарует шанс при Базовой Атаке сотворить столбы света, которые поражают случайных ближайших врагов.|有机会召唤阳光伤害附近的随机敌人。|近くのランダムな 敵にダメージを与 える太陽光線を召 喚する機会を与えます。|근처에있는 임의의 적에게 피해를주는 햇빛 광선을 소환 할 수 있습니다.|Gibt die Möglichkeit, Sonnenstrahlen zu beschwören, die zufällige Feinde in der Nähe beschädigen.
nomad_desc_2|Shoot a searing beam of sunlight at the target dealing heavy damage. Consecutive hits increase damage.|Ammu polttava auringonsäde tehden suurta vahinkoa vihollisiin joihin se osuu. Perättäiset osumat lisäävät vahinkoa.|Atire um raio abrasador de luz solar no alvo, causando dano pesado. Acertos consecutivos aumentam o dano.|Сотворяет испепеляющий Солнечный Луч. При сотворении получает складывающийся бафф, увеличивающий урон Солнечного Луча.|向目标射出灼热的阳光，造成严重伤害。连续命中会增加伤害。|大きなダメージを与え ているターゲットに照 りつける日光のビーム を放ちます。連続ヒットはダメージを増加させます。|대상에게 강한 햇빛을 발사하여 강한 피해를 입 힙니다. 연속 타격은 피해를 증가시킵니다.|Schieße einen sengenden Sonnenstrahl auf das Ziel, das schweren Schaden verursacht. Aufeinanderfolgende Treffer erhöhen den Schaden.
nomad_desc_3|Wanderer calls sand tremors from the ground, damaging and slowing enemies.|Vaeltaja kutsuu hiekka täristyksiä maasta tehden vahinkoa ja hidastaen vihollisia.|O andarilho chama tremores de areia do chão, causando dano e retardando os inimigos.|Странник призывает Дрожь Песков, наносит урон врагам и Замедляет их.|流浪者从地面发出沙尘震颤，对敌人造成伤害并使其减速。|放浪者は砂の微動を地面から呼び、敵にダメージを与え、減速させます。|방랑자는 땅에서 모래 떨림을 일으켜 적에게 피해를주고 느리게합니다.|Der Wanderer ruft Sandzittern vom Boden, der Feinde beschädigt und verlangsamt.
nomad_desc_4|Wanderer's attacks have a chance of spawning tiny tornadoes.|Vaeltajan hyökkäyksissä on mahdollisuus kutsua pieniä hiekkapyörteitä tekemään vahinkoa vihollisiin.|Os ataques do andarilho têm a chance de gerar pequenos tornados.|Странник имеет шанс при Базовой Атаке выпустить малые торнадо, которые наносят урон врагам при контакте.|流浪者的袭击有可能产生微小的龙卷风。|放浪者の攻撃は小さな竜巻を生み出す可能性があります。|방랑자의 공격으로 작은 토네이도가 생성 될 수 있습니다.|Die Angriffe des Wanderers haben die Chance, winzige Tornados hervorzubringen.
nomad_desc_5|You now have Wind Armor, increasing your dodge chance and movement speed.|Sinulla on nyt tuuli panssari joka nostaa väistön mahdollisuutta sekä liikkumisnopeutta.|Agora você tem armadura de vento, aumentando sua chance de esquivar e velocidade de movimento.|Броня Ветра увеличивает Шанс Уклонения и Скорость Передвижения Странника.|您现在有了防风衣，可以增加躲闪的几率和移动速度。|これで風の鎧が手に入り、回避率と移動速度が向上します。|이제 바람 방어구가 생겨서 회피 확률과 이동 속도가 증가합니다.|Sie haben jetzt Windpanzer, was Ihre Ausweichchance und Bewegungsgeschwindigkeit erhöht.
nomad_desc_6|Gives Wanderer's attacks a chance to fling sand into enemies eyes damaging them.|Antaa Vaeltajan hyökkäyksiin mahdollisuuden heittää hiekkaa vihollisten silmiin tehden vahinkoa heihin.|Dá aos ataques do andarilho a chance de arremessar areia nos olhos dos inimigos, prejudicando-os.|Странник имеет шанс при Базовой Атаке бросить врагам в глаза песок, что наносит врагам урон.|使流浪者的攻击有机会将沙子扔进敌人的眼睛，从而对其造成伤害。|放浪者の攻撃で敵の目に砂を投げつけてダメージを与えます。|방랑자의 공격으로 적의 눈에 모래를 던질 수 있습니다.|Gibt den Angriffen von Wanderern die Möglichkeit, Sand in die Augen des Feindes zu schleudern und ihn zu beschädigen.
nomad_desc_7|Spawns 4 tornadoes in a pattern swiping out in a spiral from the Wanderer doing damage and slowing enemies.|Kutsu 4 isoa hiekkapyörrettä pyörimään ympärilläsi tehden vahinkoa ja hidastaen vihollisia.|Desova 4 tornados em um padrão que sai em espiral do Andarilho, causando dano e retardando os inimigos.|Странник сотворяет Торнадо, которые, вращаясь по спирали вокруг Странника, наносят урон врагам при контакте и Замедляют их.|产生4个龙卷风，图案从游荡者中以螺旋状掠出，造成伤害并减速敌人。|ワンダラーかららせん状にスワイプするパターンで 4 つの竜巻をスポーンし、ダメージを与えて敵を遅くします。|방랑자에서 나선형으로 강타하여 4 개의 토네이도를 생성하여 피해를 입히고 적을 둔화시킵니다.|Spawnt 4 Tornados in einem Muster, das spiralförmig vom Wanderer ausgeht und Schaden verursacht und Feinde verlangsamt.
nomad_desc_8|Increases Sand Tremors AOE and tick frequency.|Nostaa Hiekka Tärinän alueen kokoa sekä iskunopeutta.|Aumenta a AOE dos tremores de areia e a frequência do tiquetaque.|Увеличивает область поражения и частоту нанесения урона Таланта Дрожь Песков.|增加沙尘震颤的AOE和刻度频率。|砂の微動AOEとティックの頻度を増やします。|모래 떨림 AOE 및 진드기 빈도를 증가시킵니다.|Erhöht die AOE und die Zeckenfrequenz von Sandzittern.
nomad_desc_9|The Wanderer conjures up a very large sandstorm, dealing high AOE damage|Wanderer saa aikaan erittäin suuren hiekkamyrskyn aiheuttaen korkeita AOE-vaurioita|O Wanderer evoca uma grande tempestade de areia, causando alto dano AOE|Странник вызывает очень большую песчаную бурю, наносящую большой урон по площади.|流浪者产生巨大的沙尘暴，对AOE造成严重伤害|放浪者は非常に大きな砂嵐を引き起こし、高いAOEダメージを与えます|방랑자는 매우 큰 모래 폭풍을 불러내 어 높은 AOE 피해를 입 힙니다.|Der Wanderer zaubert einen sehr großen Sandsturm, der hohen AOE-Schaden verursacht
nomad_desc_10|Every 3 seconds enhances the vagabond's sword with scimitars doing extra damage and stunning enemies. Also increases dodge chance 1 per skill point.|Joka 3. sekuntti Kiertolaisen miekka terävöityy tehden enemmän vahinkoa ja tainnuttaen vihollisia. Nostaa myös väistön mahdollisuutta.|A cada 3 segundos aumenta a espada do vagabundo com cimitarras, causando dano extra e atordoando os inimigos. Também aumenta a chance de esquiva.|Каждые 3 секунд дарует усиление Базовой Атаки: Атака наносит больше урона и Оглушает врагов.|每3秒钟，弯刀会增强流浪者的剑的伤害，使其受到额外伤害并击晕敌人。也增加躲闪的机会。|3秒ごとに、ヴァガボンドの剣が強化され、シミターが追加のダメージを与え、敵を気絶させます。また、回避のチャンスを増やします。|3 초마다 시가 타가 추가 대미지를 입히고 적을 기절시켜 바가 본드의 검을 강화합니다. 회피 확률도 증가합니다.|Alle 3 Sekunden wird das Schwert des Vagabunden mit Scimitars verstärkt, die zusätzlichen Schaden verursachen und Feinde betäuben. Erhöht auch die Ausweichchance.
nomad_desc_11|The Vagabond throws a flying scimitar damaging and stunning enemies impacted.|Kiertolainen heittää sapelinsa tehden vahinkoa ja tainnuttaen viholliset joihin sapeli osuu.|O vagabundo lança uma cimitarra voadora, causando danos e inimigos impressionantes.|Скиталец бросает во врагов Летающий Скимитар, который наносит урон и Оглушает врагов.|这名流浪者投掷了一个飞弯弯刀，造成伤害，令人震惊的敌人也受到了打击。|ヴァガボンドは空飛ぶシミターを投げ、ダメージを与え、衝撃を与える敵を圧倒します。|배가 본드가 날아 다니는 충격적인 충격적인 적을 공격합니다.|Der Vagabund wirft einen fliegenden Krummsäbel, der schädliche und atemberaubende Feinde trifft.
nomad_desc_12|The Vagabond increases his movement speed if he hasn't been in combat for 5 seconds.|Kiertolainen juoksee nopeammin jos hän ei ole ollut taistelussa 5 sekuntiin.|O vagabundo aumenta sua velocidade de movimento se ele não estiver em combate por 5 segundos.|При нахождении Вне Боя на протяжении 5 секунд Скиталец получает бафф, увеличивающий его Скорость Передвижения.|如果他没有参加战斗5秒钟，这名流浪者会提高他的移动速度。|ヴァガボンドは、5秒間戦闘を行わなかった場合、移動速度を上げます。|배가 본드는 5 초 동안 전투에 참여하지 않으면 이동 속도가 증가합니다.|Der Vagabund erhöht seine Bewegungsgeschwindigkeit, wenn er 5 Sekunden lang nicht im Kampf war.
nomad_desc_13|Chance on attack or ability to wound the enemy causing bleeding and slow.|Hyökätessä Kiertolaisen isku saattaa haavoittaa vihollista johtaen vuotavaan haavaan ja hidastumiseen.|Chance de ataque ou habilidade de ferir o inimigo, causando sangramento e lentidão.|Дарует шанс при Базовой Атаке и сотворении Способностей тяжело ранить врага, что вызовет Кровотечение и Замедлит противника.|可能发动攻击或使敌人受伤，从而导致出血和缓慢移动。|攻撃のチャンス、または敵を負傷させて出血を引き起こし、速度を低下させる能力。|적에게 상처를 입힐 수있는 확률 또는 공격시 일정 확률로 출혈과 둔화.|Chance auf Angriff oder Fähigkeit, den Feind zu verwunden, was zu Blutungen und Verlangsamung führt.
nomad_desc_14|Chance on attack to create a  body double of yourself for 3 seconds. The body double will mimic your abilities and attacks.|Mahdollisuus hyökätessä luoda kehon kaksoiskappale  3 sekunniksi. Kehon kaksoiskappale jäljittelee kykyjäsi ja hyökkäyksiäsi.|Chance no ataque de criar um dublê de você mesmo por 3 segundos. O dublê de corpo imitará suas habilidades e ataques.|Шанс при атаке создать своего двойника на 3 секунды. Двойник будет имитировать ваши способности и атаки.|攻击时有一定几率使自己的身体翻倍，持续3秒。双体将模仿您的能力和攻击力。|攻撃のチャンスは、3秒間自分のボディダブルを作成します。ボディダブルはあなたの能力と攻撃を模倣します。|공격시 3 초 동안 자신의 몸을 두 배로 만들 수 있습니다. 바디 더블은 당신의 능력과 공격을 모방합니다.|Chance beim Angriff, 3 Sekunden lang ein Körperdoppel von dir zu erschaffen. Das Body Double ahmt Ihre Fähigkeiten und Angriffe nach.
nomad_desc_15|Unleash a massive wind slash which pierces through enemies and applies wind break. Wind break scales based on skill points.|Vapauta massiivinen tuulen viiva, joka lävistää viholliset ja käyttää tuulenrikkojaa. Tuulenrikkoja perustuvat taitopisteisiin.|Desencadeia um forte golpe de vento que atravessa os inimigos e aplica quebra de vento. Escalas de quebra de vento com base em pontos de habilidade.|Скиталец рассекает врагов силой Ветра и накладывает Разушение Ветром. Сила Разрушения Втром зависит от вложенных в Талант очков.|释放出巨大的风斩，刺穿敌人并施加风阻。基于技能点的防风等级。|敵を突き抜けて防風林を適用する大規模なウィンドスラッシュを解き放ちます。防風林はスキルポイントに基づいてスケーリングします。|적을 뚫고 바람 브레이크를 적용하는 거대한 바람 베기를 펼칩니다. 스킬 포인트에 따라 바람 브레이크 스케일.|Entfessle einen massiven Windstoß, der Feinde durchdringt und Windschutz anwendet. Windschutzskalen basierend auf Skillpunkten.
nomad_desc_16|Vanishes the Vagabond from sight, damaging enemies around and granting invisibility.|Kiertolainen häviää näkyvistä, vahingoittaa ympärillä olevia vihollisia ja antaa näkymättömyyden.|Desaparece o Vagabond de vista, causando dano aos inimigos ao redor e concedendo invisibilidade.|Скиталец, исчезая из виду, создает иллюзорные копии, которые наносят урон врагам при контакте.|从视线中消失流浪者，伤害周围的敌人并获得隐形。|ヴァガボンドを視界から消し、周囲の敵にダメージを与え、不可視性を与えます。|Vagabond를 시야에서 사라지고 주변의 적에게 피해를 입히고 투명성을 부여합니다.|Verschwindet den Vagabunden aus dem Blickfeld, beschädigt Feinde in der Umgebung und gewährt Unsichtbarkeit.
nomad_desc_17|Reduces the size of flying scimitar by half but throws 3 scimitars instead of one, with increased damage|Pienentää lentävän scimitarin kokoa puoleen, mutta heittää 3 scimitaria yhden sijasta, lisääntyneillä vaurioilla|Reduz o tamanho da cimitarra voadora pela metade, mas arremessa 3 cimitarras em vez de uma, com dano aumentado|Изменяет Талант Летающий Скимитар: размер снарядов уменьшен в 2 раза,  количество снарядов увеличено до 3, урон снарядов увеличен.|将飞行弯刀的大小减半，但投掷3个弯刀，而不是1个，增加伤害|飛んでいるシミターのサイズを半分に減らしますが、1つではなく3つのシミターを投げ、ダメージを増やします|날아 다니는 시미 터의 크기를 절반으로 줄이지 만 한 개가 아닌 3 개의 시미 터를 던지며 피해가 증가합니다.|Reduziert die Größe des fliegenden Scimitar um die Hälfte, wirft aber 3 Scimitars anstelle von einem mit erhöhtem Schaden
nomad_desc_18|Vagabond conjures up powerful wind blades to cut enemies down dealing more damage the farther away the enemy is.|Kiertolainen luo voimakkaita tuulimiekkoja jotka leikkaavat vihollisten läpi tehden enemmän vahinkoa mitä kauempana vihollinen on.|O vagabundo evoca lâminas de vento poderosas para reduzir os inimigos, causando mais dano quanto mais longe o inimigo estiver.|Скиталец сотворяет Клинки Ветра, которые наносят урон врагам. Чем дальше находится противник, тем больше урона наносят Клинки Ветра.|流浪者会产生强大的风刃，以消灭敌人，使敌人越远，造成的伤害就越大。|バガボンドは強力な風のブレードを呼び起こし、敵を遠ざけるほどより多くのダメージを与えて敵を切り倒します。|배가 본드는 강력한 바람 날개를 뚫어 적을 멀리 떨어 뜨려 적을 멀리 떨어 뜨립니다.|Der Vagabund zaubert mächtige Windklingen, um Feinde niederzuschlagen und mehr Schaden zu verursachen, je weiter der Feind entfernt ist.
||||||||
redneck_talent_1|Napalm Spill|Napalmiläikytys|Derramamento de napalm|Напалм|投掷凝固汽油弹|ナパーム・スピル（油脂焼夷弾の流出）|네이팜 흘리기|Napalm-Mischung
redneck_talent_2|Moonshine Molotov|Pontikka Molotov|Moonshine Molotov|Коктейль Молотова|烈酒燃烧弹|ムーンシャイン・モロトフ（酒の燃焼弾）|밀주 화염병|Mondschein-Molotow
redneck_talent_3|Pipe Bombs|Dynamiittipötköt|Bombas de tubulação|Самодельные Бомбы|管道炸弹|パイプ爆弾|파이프 폭탄|Rohrbomben
redneck_talent_4|Tire Fire|Rengaspalo|Fogo do pneu|Горящие Шины|火焰轮胎|タイヤ・ファイア|불타는 타이어|Reifenbrand
redneck_talent_5|Spontaneous Combustion|Spontaani Syttyminen|Combustão espontânea|Самопроизвольное Возгорание|自燃|自然発火|자연 발화|Selbstentzündung
redneck_talent_6|Hillbilly Rage|Punaniskan Raivo|Raiva do caipira|Ярость Деревенщины|乡巴佬的愤怒|ヒルビリーレイジ|힐 빌리 분노|Hinterwäldler Wut
redneck_talent_7|Moonshine Madness|Pontikkasekoilu|Loucura Moonshine|Пьяный Угар|烈酒疯狂|ムーンシャイン・マッドネス（酒の狂気）|밀주 폭주|Mondschein-Wahnsinn
redneck_talent_8|Combustible Oil|Syttyvä Öljy|Óleo Combustível|Легковоспламеняющееся Масло|可燃油|燃焼油|연소성 오일|Brennbares Öl
redneck_talent_9|Pickup Raid|Autorynnäkkö|Invasão de capturas|Рейд|协同袭击|協同襲撃|집단 사냥|Pickup Überfall
redneck_talent_10|Stomp|Tömistys|Pisar|Топот|践踏|ストンプ|짓밟기|Stampfen
redneck_talent_11|Bear Trap|Karhunrauta|Armadilha para urso|Медвежий Капкан|猎熊陷阱|ベア・トラップ|곰 덫|Bärenfalle
redneck_talent_12|Chainsaw Massacre|Moottorisahamurha|Massacre da Motosserra|Резня Бензопилой|链锯屠杀|チェーンソー・マサッカー（動力鋸の大虐殺）|전기톱 학살|Kettensäge Massaker
redneck_talent_13|Durable Wear|Kestävä Vaatetus|Desgaste durável|Защитная Экипировка|持久耐磨|耐久性のある摩耗|내구성있는 마모|Langlebige Abnutzung
redneck_talent_14|Revved Up|Repäisty Käyntiin|Acelerado|Рев Мотора|振作起来|改訂|공개|Aufgedreht
redneck_talent_15|Experienced Logger|Kokenut Puunhakkaaja|Registrador experiente|Опытный Дровосек|经验丰富的伐木工|経験豊富なロガー|경험이 풍부한 로거|Erfahrener Logger
redneck_talent_16|Chainsaw Mastery|Moottorisahojen Mestari|Domínio da Serra Elétrica|Мастерство Владения Бензопилой|电锯精通|チェーンソーマスタリー|전기 톱 숙달|Kettensägen-Meisterschaft
redneck_talent_17|Logger's Endurance|Puunhakkaajan Kestävyys|Resistência do madeireiro|Выносливость Дровосека|伐木工的耐力|ロガーの持久力|로거의 지구력|Ausdauer des Holzfällers
redneck_talent_18|Firebreak|Tulitauko|Quebra de Fogo|Выжигание|防火|防火帯|방화|Feuerbruch
||||||||
redneck_desc_1|Gives Hillbilly's attacks a chance to spill burning oil.|Antaa Punaniskan hyökkäyksille mahdollisuuden roiskauttaa palavaa öljyä.|Dá aos ataques do caipira a chance de derramar óleo em chamas.|Деревенщина имеет шанс при Базовой Атаке разлить горящее масло.|使乡巴佬的袭击有机会溢出燃烧的石油。|ヒルビリーの攻撃に燃えている油をこぼす機会を与えます。|힐 빌리의 공격에 불타는 기름을 쏟을 수있는 기회를줍니다.|Gibt Hinterwäldlern die Chance, brennendes Öl zu verschütten.
