[quest]|en|fi|pt|ru|zh|ja|ko|de
quest_description_403|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.|Find a way forward through the caves.
quest_objective_403_1|Cave explored|Cave explored.|Cave explored.|Cave explored.|Cave explored.|Cave explored.|Cave explored.|Cave explored.
||||||||
quest_name_404|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace|Eternal Peace
quest_description_404|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.|Help the souls in the camp.
quest_objective_404_1|Toy found|Toy found.|Toy found.|Toy found.|Toy found.|Toy found.|Toy found.|Toy found.
||||||||
quest_name_405|Purge|Purge|Purge|Purge|Purge|Purge|Purge|Purge
quest_description_405|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.|Slay the corrupted souls.
quest_objective_405_1|Souls slain|Souls slain.|Souls slain.|Souls slain.|Souls slain.|Souls slain.|Souls slain.|Souls slain.
||||||||
quest_name_406|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids|River Rapids
quest_description_406|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.|Travel to Helheim.
quest_objective_406_1|Helheim reached|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.|Helheim reached.
||||||||
quest_name_407|Destiny|Destiny|Destiny|Destiny|Destiny|Destiny|Destiny|Destiny
quest_description_407|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.|Slay Corrupted Odin.
quest_objective_407_1|Odin slain|Odin slain.|Odin slain.|Odin slain.|Odin slain.|Odin slain.|Odin slain.|Odin slain.
[MAIN QUEST]||||||||
quest_name_1000|Cpt. Bonesword|Kpt. Luumiekka|Capitão Bonesword|Капитан Боунсворд|骷髅上尉|ボーンズワード大尉|캡틴 본즈워드|Käptain Knochenschwert
quest_description_1000|Kill Cpt. Bonesword in the River of Inoya.|Surmaa Kapteeni Luumiekka Inoyan Joella.|Mate o capitão Bonesword no rio de Inoya.|Убейте Капитан Боунсворд в реке Иноя.|在 以诺亚之河 杀死 骷髅上尉。|イノヤ川 で ボーンズワード大尉 を倒す。|이노야의강 에서 캡틴 본즈워드를 처치하십시오.|Töte Käptain Knochenschwert im Fluss von Inoya.
quest_objective_1000_1|Bonesword killed|Luumiekka surmattu|Bonesword morto|Боунсворд убит|骷髅上尉被杀|ボーンズワード 殺害|본즈워드사망|Knochenschwert getötet
||||||||
quest_name_1001|Sarcaster's coffee beans|Sarcasterin kahvipavut|Os grãos de café de Sarcaster|Кофе в зернах Саркастера|萨卡斯特的咖啡豆|サーカスターのコーヒー豆|사캐스터의 커피  콩|Sarcasters Kaffeebohnen
quest_description_1001|Retrieve Sarcaster's coffee beans from Act I Zone I Waypoint.|Hae Sarcasterin kahvipavut tason I alueen I reittipisteeltä.|Recupere os grãos de café de Sarcaster no Waypoint da Zona I do Act I.|Верните кофейные зёрна Саркастера с Путевой точки Акта 1, Зоны 1|从第一章第 I 幕的传送点取回萨卡斯特咖啡豆。|幕 I のゾーン I のボスからサーカスターのコーヒー豆を取り戻してください。|액트 I의 첫 번째 구역 보스에게서 사캐스터의 커피 콩을 되찾아오십시오!|Sammle Sarcasters Kaffeebohnen von Wegpunkt AKT I Zone I.
quest_objective_1001_1|Coffee beans retrieved.|Kahvipavut haettu.|Grãos de café recuperados.|Кофе в зернах восстановлен.|已取得咖啡豆。|コーヒー豆が取り戻されました。|되찾은 커피 콩.|Kaffeebohnen gesammelt.
||||||||
quest_name_1002|Bricks.. So many Bricks|Tiiliä... Niin paljon tiiliä|Tijolos... Tantos tijolos|Кирпичи... так много кирпичей|砖块…好多砖块|レンガ…たくさんのレンガ|벽돌이.. 너무나 많네|Ziegel .. So viele Ziegel
quest_description_1002|Collect Bricks from boxes.|Kerää tiiliä laatikoista.|Colete tijolos de caixas.|Соберите кирпичи из коробок.|从盒子里收集砖块。|箱からレンガを集めましょう。|상자에서 벽돌을 모으십시오.|Sammle Ziegel ??aus Kisten.
quest_objective_1002_1|Bricks collected.|Tiiltä kerätty.|Tijolos coletados.|Кирпичи собраны.|已收集砖块。|レンガが集められました。|모은 벽돌.|Ziegel gesammelt.
||||||||
quest_name_1003|Hot Water|Kuumaa vettä|Água quente|Горячая вода|热水|お湯|뜨거운 물|Heisses Wasser
quest_description_1003|Collect hot water from Act I Zone III.|Kerää kuumaa vettä tason I alueelta III.|Colete água quente da Act I Zona III.|Соберите горячую воду из Акта I, Зона III.|从章节I地区III收集热水。|幕 I のゾーン III からお湯を集めましょう。|액트 I의 세 번째 구역에서 뜨거운 물을 모으십시오.|Sammle heisses Wasser aus AKT I Zone III
quest_objective_1003_1|Hot water collected|Kuumaa vettä kerätty.|Água quente coletada.|Горячая вода собрана.|已收集热水。|お湯が集められました。|모은 뜨거운 물.|Heisses Wasser gesammelt.
||||||||
quest_name_1020|Take a Look Around|Katso ympärillesi|Dê uma olhada ao redor|Оглянитесь вокруг|看看周围|周りを見よう|둘러보기|Sieh dich um
quest_description_1020|Get acquainted with the townsfolk.|Tutustu kylänväkeen.|Familiarize-se com os habitantes da cidade.|Познакомьтесь с горожанами.|认识一下城镇居民。|町の住人と知り合ってください。|마을 사람들과 친해지십시오.|Lerne die Einwohner kennen.
quest_objective_1020_1|Talk to Dr. Tinker Dink|Puhu Dr. Tinker Dinkille|Fale com Dr. Tinker Dink|Поговорите с Dr. Tinker Dink|与汀克尔·丁克交谈|ティンカー・ディンク博士と話す|팅커 딩크 박사와 이야기하기|Sprich mit Dr. Tinker Dink
quest_objective_1020_2|Talk to Magister Kujala|Puhu Magister Kujalalle|Fale com Magister Kujala|Поговорите с Magister Kujala|与库加拉老师交谈|マギステル・クジャラと話す|술사 쿠잘라와 이야기하기|Rede mit Magister Kujala
quest_objective_1020_3|Talk to Torstein|Puhu Torsteinille|Fale com Torstein|Поговорите с Torstein|与开膛手杰克交谈|ジャック・ザ・リッパーと話す|잭 더 리퍼와 이야기하기|Sprich mit Torstein
quest_objective_1020_4|Talk to Um|Puhu Umille|Fale com Um|Поговорите с Um|与乌姆交谈|ウームと話す|움과 이야기하기|Sprich mit aehm
quest_objective_1020_5|Talk to Miner Yogvan|Puhu Yogvanille|Fale com Yogvan|Поговорите с Yogvan|与萨卡斯特交谈|サーカスターと話す|사캐스터와  이야기하기|Sprich mit Miner Yogvan
quest_objective_1020_6|Talk to Gar Nor|Puhu Gar Norille|Fale com Gar Nor|Поговорите с Gar Nor|与加尔·诺尔交谈|ガー・ノーと話す|가 노르와  이야기하기|Sprich mit Gar Nor
||||||||
quest_name_1021|Mysterious Wildlife|Mysteerinen luonto|Vida selvagem misteriosa|Таинственная природа|神秘的野生生命|神秘的な野生生物|신비한 야생 생물|Mysterioese Wildtiere
quest_description_1021|Collect body parts from enemies in Act I.|Kerää ruumiinosia vihollisilta tasossa I.|Colete partes do corpo dos inimigos no ATO I.|Соберите части тела от врагов в акте I.|在章节I收集敌人的身体部位。|幕 I の敵からボディパーツを集めましょう。|액트 I에 있는 적들의 신체 조각을 모으십시오.|Sammle Koerperteile von Gegnern in AKT I.
quest_objective_1021_1|Body parts collected|Ruumiinosia kerätty|Partes do corpo coletadas|Собранные части тела|已收集身体部位|ボディパーツが集められました|모은 신체 조각|Koerperteile gesammelt
||||||||
quest_name_1022|Shock Therapy|Shokkiterapiaa|Terapia de choque|Шоковая терапия|惊吓疗法|ショック・セラピー|충격 요법|Schocktherapie
quest_description_1022|Use the Shocker-3000 to shock enemies.|Käytä Sähkötin-3000 vihollisten sähkötykseen.|Usar o Shocker-3000 para chocar os inimigos.|Используйте Шокер-3000, чтобы шокировать врагов.|用惊吓者-3000惊吓敌人。|ショッカー-3000を使って敵に衝撃を与えてください。|적들에게 쇼커-3000을 사용하십시오.|Verwende den Shocker-3000, um Feinde zu schocken.
quest_objective_1022_1|Enemies shocked|Vihollista sähkötetty|Inimigos chocados|Враги в шоке|已惊吓敌人|敵が衝撃を受けました|충격받은 적.|Feinde geschockt
||||||||
quest_name_1023|Corruptor of the Forest|Metsän korruptoija|Corruptor da Floresta|Корруптор леса|森林的腐化者|森の破壊者|숲 파괴자|Verderber des Waldes
quest_description_1023|Kill Gurag in Act I.|Surmaa Gurag tasossa I.|Mate Gurag no ATO I.|Убей Гурага в первом акте I.|杀死章节I的古拉格。|幕 I のグラゴを殺してください。|액트 I의 구라그를 처치하십시오.|Toete Gurag in AKT I.
quest_objective_1023_1|Gurag slain|Gurag surmattu|Gurag morto|Гураг убит|已杀死古拉格|グラゴが殺されました|구라그 처치|Gurag getoetet
||||||||
quest_name_1024|Save the Day!|Pelasta aarteet!|Salve as relíquias!|Сохранить реликвии!|拯救遗物！|遺物を救え！|유물 보호!|Rette die Relikte!
quest_description_1024|Kill enemies in Act II.|Kerää aarteita.|Colete relíquias.|Соберите реликвии.|收集遗物。|遺物を集めましょう。|유물을 모으십시오.|Sammle Relikte.
quest_objective_1024_1|Goblins slain|Aarteita kerätty|Relíquias coletadas|Реликвии собраны|已收集遗物|遺物が集められました|모은 유물|Relikte gesammelt
quest_objective_1024_2|Skeletons slain|||||||
quest_objective_1024_3|Dragons slain|||||||
quest_objective_1024_4|Ice Elementals slain|||||||
||||||||
quest_name_1025|Icy Enchanters|Jäiset lumoajat|Encantadores Gelados|Ледяные чародеи|寒冰咏唱者|アイシーエンチャンター|냉기를 부르는 자|Eisige Zauberer
quest_description_1025|Interrupt the casting of enemy portals in Act II.|Estä vihollisia luomasta portaaleja tasossa II.|Interrompa o lançamento de portais inimigos no ATO II.|Прервите кастинг вражеских порталов в акте II.|在章节II干扰敌人传送门的施法。|幕 II で敵ポータルのキャスティングを中断しましょう。|액트 II에서 적들을 부르는 포탈을 닫으십시오.|Verhindere, dass Gegner in Level II Portale beschwoeren.
quest_objective_1025_1|Portals interrupted|Portaalia estetty|Portais interrompidos|Порталы прерваны|已干扰传送门|ポータルが中断されました|닫은 포탈.|Portalebeschoerung unterbrochen
||||||||
quest_name_1026|Death Itself|Itse kuolema|A própria morte|Сама Смерть|死亡本身|死そのもの|죽음 그 자체|Selbst ist der Tod
quest_description_1026|Kill Grim Reaper in Act II.|Surmaa Viikatemies tasossa II.|Mate o Ceifador no ATO II.|Убить мрачного жнеца в акте II.|杀死章节II的死神。|幕 II でグリム・リーパーを殺してください。|액트 II의사신을 처치하십시오.|Besiege den Sensenmann in AKT II.
quest_objective_1026_1|Grim Reaper slain|Viikatemies surmattu|Ceifador morto|Мрачный Жнец убит|已杀死死神|グリム・リーパーが殺されました|사신 처치.|Sensenmann getoetet
||||||||
quest_name_1027|Save the Innocent!|Pelasta viattomat!|Salve os inocentes!|Спаси невинных!|拯救无辜者！|無実な人たちを救え！|결백한 사람들 구하기!|Rette die Unschuldigen!
quest_description_1027|Escort the prisoners to the portal in Act III.|Saata vangit portaaliin tasossa III.|Acompanhe os prisioneiros até o portal no ATO III.|Сопровождение заключенных на портал в акте III.|将囚徒送到传送门。|囚人をポータルまで護衛してください。|죄수들을 포탈까지 인도하십시오!|Begleite die Gefangenen im AKT III zum Portal.
quest_objective_1027_1|Prisoners saved|Vankia pelastettu|Prisioneiros salvos|Заключенные спасены|已拯救囚徒|囚人を救いました|구출한 죄수.|Gefangene gerettet
||||||||
quest_name_1028|Cleanse the Land|Puhdistus|Limpar a terra|Очистить землю|清扫大地|土地を清める|땅을 정화하십시오|Reinige das Land
quest_description_1028|Kill enemies in Act III.|Surmaa vihollisia tasossa III.|Mate os inimigos no ATO III.|Убить врагов в акте III.|杀死章节III的敌人。|幕 III で敵を殺してください。|액트 III에서 적들을 처치하십시오.|Toete alle Gegner in AKT III.
quest_objective_1028_1|Skeletons slain|Luurankoa surmattu|Esqueletos mortos|Скелеты убиты|已杀死骷髅|スケルトンが殺されました|처치한 해골|Skelette getoetet
quest_objective_1028_2|Orcs slain|Örkkiä surmattu|Orcs slain|Orcs slain|Orcs slain|Orcs slain|Orcs slain|Orcs slain
quest_objective_1028_3|Desert Beasts slain|Hiekkapetoja surmattu|Bestas do deserto mortas|Пустынные звери убиты|已杀死沙漠野兽|砂漠の獣が殺されました|처치한 사막 야수|Wuestentiere getoetet
quest_objective_1028_4|Sand Wasps slain|Hiekka-ampiaista surmattu|Vespas de areia mortas|Песчаные осы убиты|已杀死沙漠黄蜂|砂のスズメバチが殺されました|처치한 모래 말벌|Sandwespen getoetet
quest_objective_1028_5|Mummies slain|Muumiota surmattu|Múmias mortas|Мумии убиты|已杀死木乃伊|ミイラが殺されました|처치한 미라|Mumien toeten
quest_objective_1028_6|Shadow Anomalies slain|Varjo-olentoa surmattu|Anomalias das Sombras mortas|Аномалии Теней убиты|已杀死阴影恶魔|影の異常が殺されました|처치한 그림자 이상|Shadow Anomalies getoetet
||||||||
quest_name_1029|Protector of Graves|Hautojen suojelija|Protetor de Sepulturas|Защитник Могил|坟墓守护者|墓穴の守護者|무덤의 수호자|Beschuetzer des Pharaonengrabes
quest_description_1029|Kill Anubis in Act III.|Surmaa Anubis tasossa III.|Mate Anúbis no ATO III.|Убить Анубиса в третьем акте III.|杀死章节III的阿努比斯。|幕 III でアヌビスを殺してください。|액트 III의 아누비스를 처치하십시오.|Toetet Anubis in AKT III.
quest_objective_1029_1|Anubis slain|Anubis surmattu|Anúbis morto|Анубис убит|已杀死阿努比斯|アヌビスが殺されました|아누비스 처치.|Anubis getoetet
||||||||
quest_name_1030|Dungeon Master|Luolamestari|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master|Dungeon Master
quest_description_1030|Clear Old Copper Mine in Act IV Zone I.|Suorita tason IV alueet I ja II aikarajoituksessa.|Clear Old Copper Mine in Act IV Zone I.|Clear Old Copper Mine in Act IV Zone I.|Clear Old Copper Mine in Act IV Zone I.|Clear Old Copper Mine in Act IV Zone I.|Clear Old Copper Mine in Act IV Zone I.|Clear Old Copper Mine in Act IV Zone I.
quest_objective_1030_1|Mine cleared|Taso IV alue I suoritettu|Mine cleared|Mine cleared|清理矿场|Mine cleared|Mine cleared|Mine cleared
||||||||
quest_name_1031|Prove Yourself|Näytä taitosi|Provar a si mesmo|Докажи себя|证明自己|自分を証明する|네 자신을 증명하라|Sich selbst beweisen
quest_description_1031|Kill enemies with the Flail.|Surmaa vihollisia varstalla.|Mate os inimigos com o mangual.|Убей врагов с помощью Цепи.|用连枷杀死敌人。|からざおを使って敵を殺してください。|철퇴로 적들을 처치하십시오.|Toete Feinde mit dem Dreschflegel.
quest_objective_1031_1|Enemies slain|Vihollista surmattu|Inimigos mortos|Враги убиты|已杀死敌人|敵が殺されました|처치한 적|Gegner getoetet
||||||||
quest_name_1032|Damien, Son of Satan|Damien, Saatanan poika|Damien, filho de Satanás|Дэмиен, сын сатаны|达米安，撒旦之子|ダミアン、サタンの子|사탄의 아들, 데미언|Damien, Sohn Satans
quest_description_1032|Kill Damien in Act IV.|Surmaa Damien tasossa IV.|Mate Damien no ATO IV.|Убейте Дэмиена в Акте IV.|已杀死章节IV的达米安。|幕 IV でダミアンを殺してください。|액트 IV의 데미언을 처치하십시오.|Toete Damien in AKT IV.
quest_objective_1032_1|Damien slain|Damien surmattu|Damien morto|Дэмиен убит|已杀死达米安|ダミアンが殺されました|데미언 처치.|Damien wurde getoetet
[KARP OF DOOM]||||||||
quest_name_1033|Corrupted Statues|Korruptoituneet patsaat|Estátuas corrompidas|Поврежденные статуи|腐败的雕像|壊れた彫像|부패한 조각상|Verderbte Statuen
quest_description_1033|Destroy corrupted statues in Act V Zone I or II.|Tuhoa korruptoituneet patsaat tason V alueella I tai II.|Destrua estátuas corrompidas na Act V Zone I ou II.|Уничтожьте испорченные статуи в Акте V Зона I или II.|摧毁第五幕第一或 第二区域中损坏的雕像。|幕 V ゾーン I または II で壊れた彫像 を破壊します。|행위 V 구역 I 또는 II에서 손상된 조각상을 파괴하십시오.|Zerstöre beschädigte Statuen in Akt V Zone I oder II.
quest_objective_1033_1|Corrupted statues destroyed|Patsasta tuhottu|Estátuas corrompidas destruídas|Поврежденные статуи уничтожены|损坏的雕像被摧毁|壊れた彫像が破壊された|타락한 조각상 파괴|Verderbte Statuen zerstört
||||||||
quest_name_1034|Stop the Invasion|Pysäytä tunkeutujat|Pare a invasão|Остановить вторжение|阻止入侵|侵略を止める|침략을 중지|Stoppen Sie die Invasion
quest_description_1034|Bomb the ships at the edge of Act V Zone III.|Pommita veneitä tason V alueen III laidalla.|Bombardeie os navios na borda da Act V Zone III.|Бомбить корабли на краю Акта V Зона III.|轰炸第五战 区边缘的船只。|幕 V ゾーン III の端に船を爆撃します。|액트 V 구역 III의 가장자리에서 배를 폭격.|Bombardieren Sie die Schiffe am Rande von Act V Zone III.
quest_objective_1034_1|Ships sunk|Venettä upotettu|Navios afundados|Корабли потоплены|船舶沉没|沈没した船|선박 침몰|Schiffe versenkt
||||||||
quest_name_1035|We Feast on Fish|Kalasaalis|Nós nos banqueteamos com peixes|Мы наслаждаемся рыбой|我们吃鱼|魚を食べる|우리는 물고기를 잔치|Wir essen Fisch
quest_description_1035|Capture fishes with fish trap in Act V Zone IV or V.|Saalista kalaa kala-ansalla tason V alueella IV tai V.|Capturar peixes com armadilha de peixes na Act V, Zona IV ou V.|Ловите рыбу с ловушкой в Акте V, Зоне IV или V.|在第 V 区 IV 或 V 区使用诱捕 器捕获鱼类。|幕 V ゾーン IV または V のフィッシュ トラップで魚 を捕まえます。|행위 V 영역 IV 또는 V에서 물고기 함정으로 물고기를 잡습니다.|Fangen Sie Fische mit Fischfalle in Akt V Zone IV oder V.
quest_objective_1035_1|Fishes captured|Kalaa|Peixes capturados|Рыбы пойманы|捕获的鱼|捕獲した魚|잡은 물고기|Fische gefangen
||||||||
quest_name_1036|Sushi Time!|Sushi-aika!|Hora do sushi!|Время суши!|寿司时间！|寿司タイム！|스시 시간!|Sushi-Zeit!
quest_description_1036|Kill Karp King in Act V.|Surmaa Karppikuningas tasossa V.|Mate Karp King no ATO V.|Убить Карпа Кинга в Акте V.|在第五幕中 杀死卡普·金。|幕 V で カープキング を倒す。|행위 V에서 잉어 왕을 처치하십시오.|Töte Karp King in Akt V.
quest_objective_1036_1|Karp King killed|Karppikuningas surmattu|Karp King morto|Карп Кинг убит|卡普·金被杀|殺されたカープキング|잉어 왕 사망|Karp King getötet
[DEPTHS OF HELL]||||||||
quest_name_1037|Preparation|Valmistautuminen|Preparação|Подготовка|制备|準備|예비|Vorbereitung
quest_description_1037|Collect essence and one book in Act VI Zone I.|Kerää esanssia ja yksi kirja tason VI alueella I.|Colete a essência e um livro na Act VI Zona I.|Соберите сущность и одну книгу в Акте VI, Зона I.|在第六法案第一区 收集精华和一本书。|幕 VI ゾーン I でエッセンスと本 を集めてください。|행위 VI 영역 I에서 본질과 한 권의 책을 수집하십시오.|Sammle Essenz und ein Buch in Akt VI Zone I.
quest_objective_1037_1|Book of Command|Komentokirja|Livro de Comando|Книга командования|命令书|支配の書|커맨드 북|Buch der Beherrschung
quest_objective_1037_2|Essence|Esanssia|Essência|Сущность|本质|エッセンス|본질|Essenz
||||||||
quest_name_1038|Shut Down|Sammutus|Desligar|Неисправность|关掉|シャットダウン|셧다운|Herunterfahren
quest_description_1038|Close demonic portals in Act VI Zone II or III.|Sulje demonisia portaaleja tason Act VI alueella II tai III.|Feche portais demoníacos na Act VI Zona II ou III.|Закрытие демонических порталов в акте VI, зона II или III.|关闭第 VI 区 II 或 III 区的恶魔门户。|幕 VI ゾーン II または III の悪魔の ポータル を閉じます。|행위 VI 영역 II 또는 III에서 악마 포털을 닫습니다.|Schließen Sie dämonische Portale in Akt VI Zone II oder III.
quest_objective_1038_1|Portals closed|Portaalia suljettu|Portais fechados|Порталы закрыты|门户关闭|閉じたポータル|포털 폐쇄|Portale geschlossen
||||||||
quest_name_1039|Highway to Hell|Valtatie Helvettiin|Estrada para o inferno|Шоссе в ад|通向地狱的公路|地獄へのハイウエイ|지옥으로가는 고속도로|Autobahn zur Hölle
quest_description_1039|Clear cogs out of mysterious vines in Act VI Zone IV.|Puhdista rattaat mysteeriköynnöksista tason VI alueella IV.|Limpar rodas dentadas de videiras misteriosas na Act VI Zona IV.|Очистите винтики от таинственных виноградных лоз в Акте VI, Зона IV.|从第六幕第四区的神 秘葡萄藤中清除齿轮。|幕 VI ゾーン IV で神秘的なツ ルから歯車を 取り除きます。|행위 VI 영역 IV의 신비한 덩굴에서 나온 톱니 바퀴.|Räumen Sie in Akt VI Zone IV Zahnräder aus mysteriösen Reben.
quest_objective_1039_1|Cogs cleared|Rattaita puhdistettu|Rodas dentadas limpas|Винтики очищены|齿轮已清除|クリアされた歯車|톱니가 깨끗해짐|Zahnräder geräumt
||||||||
quest_name_1040|Summon Satan|Kutsu Saatana|Convocar Satanás|Призвать сатану|召唤撒旦|サタン召喚|사탄 소환|Beschwöre Satan
quest_description_1040|Kill Satan in Act VI.|Surmaa Saatana tasossa VI.|Mate Satanás no ATO VI.|Убить сатану в акте VI.|在第六幕中杀死撒旦。|幕 VI でサタンを倒す。|행위 VI에서 사탄을 처치하십시오.|Töte Satan in Akt VI.
quest_objective_1040_1|Satan killed|Saatana surmattu|Satanás matou|Сатана убит|撒旦被杀|サタンが殺された|사탄이 살해되다|Satan getötet
[WRATH OF MEVIUS]||||||||
quest_name_1041|Technology is Great|Teknologia on siistiä|A tecnologia é ótima|Технология отличная|技术很棒|テクノロジーは素晴らしい|기술은 대단하다|Technologie ist großartig
quest_description_1041|Suck black holes with Sucker-5000 in Act VII Zone I.|Ime mustia-aukkoja Imuri-5000:lla tason VII alueella I.|Chupe buracos negros com Otário-5000 na Act VII Zona I.|Соси черные дыры с Присоска-5000 в акте VII зоны I.|在第七幕 I 区使用 吸力枪-5000 吸黑洞。|幕 VII ゾーン I の サッカー-5000 で ブラックホール を吸います。|행위 VII 영역 I에서 써커-5000으로 블랙홀을 빨아들입니다.|Saugen Sie schwarze Löcher mit Sauger-5000 in Akt VII Zone I.
quest_objective_1041_1|Black holes captured|Mustaa-aukkoa kaapattu|Buracos negros capturados|Черные дыры захвачены|黑洞被捕获|捕獲されたブラックホール|블랙홀 캡처|Schwarze Löcher gefangen
||||||||
quest_name_1042|Lock & Load!|Lataa ja varmista!|Bloquear e carregar!|Блокировка и загрузка!|锁定并加载！|ロックしてロード！|잠금 및로드!|Sichern und Laden!
quest_description_1042|Use Sucker-5000-B to capture enemies in Act VII Zone II or III.|Kaappaa vihollisia Imuri-5000-B:llä tason VII alueella II tai III.|Usar Otário-5000-B para capturar inimigos na Act VII Zona II ou III.|Используйте Присоска-5000-B, чтобы захватить врагов в акте VII зоны II или III.|使用 吸力枪-5000-B 捕获第七幕 II 区或 III 区的敌人。|サッカー-5000-B を使用して、 幕 VII ゾーン II または III の敵をキャプ チャします。|써커-5000-B를 사용하여 행동 VII 구역 II 또는 III에서 적을 사로 잡으십시오.|Verwenden Sie Sauger-5000-B, um Feinde in Akt VII Zone II oder III zu fangen.
quest_objective_1042_1|Enemies captured|Vihollista kaapattu|Inimigos capturados|Враги захвачены|被捕获的敌人|捕獲された敵|적군|Feinde gefangen genommen
||||||||
quest_name_1043|Clear the Area!|Tyhjentäkää alue!|Limpe a área!|Очистить область!|清理区域！|エリアをクリアしてください！|지역을 비워 라!|Räumen Sie den Bereich!
quest_description_1043|Kill enemies in Act VII Zone IV and V.|Surmaa vihollisia tason VII alueilla IV ja V.|Mate inimigos no ATO VII, Zona IV e V.|Убить врагов в акте VII зоны IV и V.|在第 VII 区 IV 和 V 区杀死敌人。|幕 VII ゾーン IV および V で敵を倒す。|행동 VII 존 IV와 V에서 적을 처치하십시오.|Töte Feinde in Akt VII Zone IV und V.
quest_objective_1043_1|Ghost skeleton|Haamuluurankoa|Esqueleto fantasma|Призрачный скелет|鬼骨架|ゴーストスケルトン|유령 해골|Geisterskelett
quest_objective_1043_2|Ghost archer|Haamujousiampujaa|Arqueiro fantasma|Призрачный лучник|幽灵弓箭手|ゴーストアーチャー|유령 아처|Geisterbogenschütze
quest_objective_1043_3|Armored knight|Haarniskaritaria|Cavaleiro blindado|Бронированный рыцарь|装甲的骑士|装甲騎士|기갑 기사|Gepanzerter Ritter
quest_objective_1043_4|Headless butler|Päätöntä hovimestaria|Mordomo sem cabeça|Безголовый дворецкий|无头管家|首なし執事|헤드리스 버틀러|Kopfloser Butler
||||||||
quest_name_1044|Master of Destruction|Tuhon mestari|Mestre da destruição|Мастер Разрушения|毁灭大师|破壊のマスター|파괴의 대가|Meister der Zerstörung
quest_description_1044|Kill Mevius in Act VII.|Surmaa Mevius tasossa VII.|Mate Mevius no ATO VII.|Убей Мевия в акте VII.|在第七幕中杀死 梅维乌斯。|幕 VII でメビウスを倒す。|행위 VII에서 메비우스를 처치하십시오.|Töte Mevius in Akt VII.
quest_objective_1044_1|Mevius killed|Mevius surmattu|Mevius morto|Мевий убит|梅维乌斯被杀|メビウスは殺された|메비우스 사망|Mevius getötet
